attendance_pct,behavior_pct,SEM7,dropout_score,CURR_SEM,SEM2,past_count,INTERNAL_MARKS,SEM8,performance_overall,DEPT,RNO,performance_trend,prev_att,TOTAL_DAYS_CURR,risk_label,S.NO,EMAIL,risk_score,performance_label,BEHAVIOR_SCORE_10,past_avg,SEM6,SEM1,MENTOR_EMAIL,YEAR,internal_pct,ATTENDED_DAYS_CURR,MENTOR,SEM4,SEM3,present_att,dropout_label,NAME,PREV_ATTENDANCE_PERC,SEM5
84.45,38.0,0.0,26.65,2.0,,1,13.0,0.0,58.07,CDS,23G31B5370,0.0,60.0,104.0,normal,16.0,karthik.joshi610@gmail.com,41.93,medium,3.8,61.0,0.0,61.0,dr..vikram.reddy24@gmail.com,1.0,43.33,102.0,Dr. Vikram Reddy,0.0,0.0,98.08,low,Karthik Joshi,60.0,0.0
83.37,90.0,0.0,19.81,2.0,,1,19.0,0.0,68.5,ECE,23G31A8586,0.0,59.0,113.0,low,17.0,sneha.reddy286@gmail.com,31.5,medium,9.0,65.0,0.0,65.0,prof..isha.mishra48@gmail.com,1.0,63.33,101.0,Prof. Isha Mishra,0.0,0.0,89.38,low,Sneha Reddy,59.0,0.0
87.55,77.0,0.0,19.61,2.0,,1,15.0,0.0,63.98,EEE,23G31A3295,0.0,93.0,96.0,low,18.0,sneha.desai282@gmail.com,36.02,medium,7.7,64.0,0.0,64.0,dr..suresh.iyer43@gmail.com,1.0,50.0,84.0,Dr. Suresh Iyer,0.0,0.0,87.5,low,Sneha Desai,93.0,0.0
72.85,50.0,0.0,34.67,1.0,0.0,0,28.0,0.0,41.43,MECH,23G31A8137,0.0,76.0,113.0,normal,19.0,deepak.desai415@gmail.com,58.57,poor,5.0,0.0,0.0,,dr..harish.rao22@gmail.com,1.0,93.33,85.0,Dr. Harish Rao,0.0,0.0,75.22,low,Deepak Desai,76.0,0.0
82.76,73.0,0.0,21.23,2.0,,1,19.0,0.0,71.06,CIVIL,23G31B9891,0.0,68.0,86.0,low,20.0,ramesh.malhotra763@gmail.com,28.94,high,7.3,72.0,0.0,72.0,prof..meera.desai11@gmail.com,1.0,63.33,76.0,Prof. Meera Desai,0.0,0.0,88.37,low,Ramesh Malhotra,68.0,0.0
63.94,90.0,0.0,42.24,1.0,0.0,0,12.0,0.0,26.09,CSE(AI),23G31B8855,0.0,45.0,96.0,high,21.0,nitin.saxena250@gmail.com,73.91,poor,9.0,0.0,0.0,,prof..shreya.nair55@gmail.com,1.0,40.0,63.0,Prof. Shreya Nair,0.0,0.0,65.62,medium,Nitin Saxena,45.0,0.0
50.16,90.0,0.0,38.69,2.0,,1,24.0,0.0,82.02,CSE,23G31A1368,0.0,54.0,83.0,low,22.0,meera.rao743@gmail.com,17.98,high,9.0,92.0,0.0,92.0,prof..isha.mishra36@gmail.com,1.0,80.0,36.0,Prof. Isha Mishra,0.0,0.0,43.37,low,Meera Rao,54.0,0.0
65.51,55.0,0.0,44.31,1.0,0.0,0,13.0,0.0,25.58,CDS,23G31A5007,0.0,95.0,99.0,high,23.0,esha.reddy143@gmail.com,74.42,poor,5.5,0.0,0.0,,dr..sanjay.joshi15@gmail.com,1.0,43.33,58.0,Dr. Sanjay Joshi,0.0,0.0,58.59,medium,Esha Reddy,95.0,0.0
92.07,62.0,0.0,24.35,1.0,0.0,0,15.0,0.0,31.91,ECE,23G31A5245,0.0,91.0,120.0,high,24.0,simran.bhatnagar384@gmail.com,68.09,poor,6.2,0.0,0.0,,dr..sanjay.joshi87@gmail.com,1.0,50.0,116.01,Dr. Sanjay Joshi,0.0,0.0,96.67,low,Simran Bhatnagar,91.0,0.0
88.29,12.0,0.0,29.0,1.0,0.0,0,24.0,0.0,37.84,EEE,23G31B6388,0.0,92.0,107.0,high,25.0,rajesh.agarwal570@gmail.com,62.16,poor,1.2,0.0,0.0,,prof..isha.mishra85@gmail.com,1.0,80.0,105.0,Prof. Isha Mishra,0.0,0.0,98.13,low,Rajesh Agarwal,92.0,0.0
62.4,67.0,0.0,41.62,1.0,0.0,0,24.0,0.0,36.71,MECH,23G31A8215,0.0,41.0,84.0,high,26.0,aisha.chatterjee133@gmail.com,63.29,poor,6.7,0.0,0.0,,prof..shreya.nair24@gmail.com,1.0,80.0,57.0,Prof. Shreya Nair,0.0,0.0,67.86,medium,Aisha Chatterjee,41.0,0.0
57.77,16.0,0.0,47.76,2.0,,1,12.0,0.0,52.47,CIVIL,23G31B4787,0.0,78.0,88.0,normal,27.0,anjali.agarwal608@gmail.com,47.53,medium,1.6,62.0,0.0,62.0,dr..rajesh.kumar40@gmail.com,1.0,40.0,51.0,Dr. Rajesh Kumar,0.0,0.0,57.95,medium,Anjali Agarwal,78.0,0.0
81.18,42.0,0.0,29.97,1.0,0.0,0,27.0,0.0,41.28,CSE(AI),23G31B1623,0.0,41.0,115.0,normal,28.0,sanjay.das796@gmail.com,58.72,poor,4.2,0.0,0.0,,dr..anil.singh35@gmail.com,1.0,90.0,113.0,Dr. Anil Singh,0.0,0.0,98.26,low,Sanjay Das,41.0,0.0
39.45,12.0,0.0,63.19,1.0,0.0,0,24.0,0.0,30.52,CSE,23G31B7131,0.0,43.0,85.0,high,29.0,bhavna.bhat389@gmail.com,69.48,poor,1.2,0.0,0.0,,prof..kavya.pillai79@gmail.com,1.0,80.0,36.0,Prof. Kavya Pillai,0.0,0.0,42.35,high,Bhavna Bhat,43.0,0.0
72.07,38.0,0.0,41.42,1.0,0.0,0,13.0,0.0,25.71,CDS,23G31B1420,0.0,88.0,105.0,high,30.0,kavya.iyer464@gmail.com,74.29,poor,3.8,0.0,0.0,,dr..rohan.kapoor49@gmail.com,1.0,43.33,76.0,Dr. Rohan Kapoor,0.0,0.0,72.38,medium,Kavya Iyer,88.0,0.0
62.76,50.0,0.0,39.24,2.0,,1,13.0,0.0,62.41,ECE,23G31A9885,0.0,46.0,111.0,low,31.0,suresh.singh226@gmail.com,37.59,medium,5.0,75.0,0.0,75.0,prof..kavya.pillai52@gmail.com,1.0,43.33,77.0,Prof. Kavya Pillai,0.0,0.0,69.37,low,Suresh Singh,46.0,0.0
78.8,56.0,0.0,25.37,2.0,,1,20.0,0.0,70.62,EEE,23G31A4634,0.0,72.0,100.0,low,32.0,varun.pillai787@gmail.com,29.38,high,5.6,72.0,0.0,72.0,dr..harish.rao43@gmail.com,1.0,66.67,84.0,Dr. Harish Rao,0.0,0.0,84.0,low,Varun Pillai,72.0,0.0
69.63,65.0,0.0,38.76,1.0,0.0,0,18.0,0.0,31.7,CIVIL,23G31B3541,0.0,59.0,120.0,high,34.0,suresh.das630@gmail.com,68.31,poor,6.5,0.0,0.0,,dr..rohan.kapoor62@gmail.com,1.0,60.0,88.0,Dr. Rohan Kapoor,0.0,0.0,73.33,low,Suresh Das,59.0,0.0
83.79,82.0,0.0,18.05,2.0,,1,18.0,0.0,80.17,CSE(AI),23G31A1993,0.0,83.0,89.0,low,35.0,sandeep.kumar414@gmail.com,19.83,high,8.2,91.0,0.0,91.0,dr..vikram.reddy25@gmail.com,1.0,60.0,75.0,Dr. Vikram Reddy,0.0,0.0,84.27,low,Sandeep Kumar,83.0,0.0
73.99,57.0,0.0,35.18,1.0,0.0,0,22.0,0.0,35.95,CSE,23G31A8228,0.0,48.0,99.0,high,36.0,kavya.iyer613@gmail.com,64.05,poor,5.7,0.0,0.0,,prof..priya.sharma31@gmail.com,1.0,73.33,83.0,Prof. Priya Sharma,0.0,0.0,83.84,low,Kavya Iyer,48.0,0.0
41.22,21.0,0.0,52.62,2.0,,1,25.0,0.0,72.73,CDS,23G31A7082,0.0,49.0,117.0,low,37.0,rajesh.srivastava730@gmail.com,27.27,high,2.1,81.0,0.0,81.0,dr..rohan.kapoor96@gmail.com,1.0,83.33,49.0,Dr. Rohan Kapoor,0.0,0.0,41.88,medium,Rajesh Srivastava,49.0,0.0
86.28,85.0,0.0,13.57,2.0,,1,28.0,0.0,86.19,ECE,23G31B5451,0.0,60.0,116.0,low,38.0,siddharth.menon162@gmail.com,13.81,high,8.5,82.0,0.0,82.0,dr..sanjay.joshi29@gmail.com,1.0,93.33,109.0,Dr. Sanjay Joshi,0.0,0.0,93.97,low,Siddharth Menon,60.0,0.0
70.38,24.0,0.0,32.94,2.0,,1,30.0,0.0,68.76,EEE,23G31A3458,0.0,73.0,80.0,low,39.0,ajay.bhat939@gmail.com,31.24,medium,2.4,54.0,0.0,54.0,prof..anjali.menon33@gmail.com,1.0,100.0,61.0,Prof. Anjali Menon,0.0,0.0,76.25,low,Ajay Bhat,73.0,0.0
69.06,73.0,0.0,36.02,1.0,0.0,0,25.0,0.0,39.01,MECH,23G31B6380,0.0,70.0,85.0,high,40.0,divya.mishra334@gmail.com,60.99,poor,7.3,0.0,0.0,,prof..anjali.menon50@gmail.com,1.0,83.33,58.0,Prof. Anjali Menon,0.0,0.0,68.24,low,Divya Mishra,70.0,0.0
73.9,53.0,0.0,29.54,2.0,,1,28.0,0.0,62.23,CIVIL,23G31A1497,0.0,42.0,100.0,low,41.0,sanjay.verma396@gmail.com,37.77,medium,5.3,41.0,0.0,41.0,dr..nitin.verma37@gmail.com,1.0,93.33,86.0,Dr. Nitin Verma,0.0,0.0,86.0,low,Sanjay Verma,42.0,0.0
53.39,13.0,0.0,52.66,1.0,0.0,0,26.0,0.0,34.66,CSE(AI),23G31A3158,0.0,91.0,95.0,high,42.0,meera.patel159@gmail.com,65.34,poor,1.3,0.0,0.0,,prof..kavya.pillai54@gmail.com,1.0,86.67,46.0,Prof. Kavya Pillai,0.0,0.0,48.42,medium,Meera Patel,91.0,0.0
83.49,97.0,0.0,13.76,2.0,,1,30.0,0.0,87.87,CSE,23G31A6353,0.0,67.0,102.0,low,43.0,rahul.bhatnagar835@gmail.com,12.13,high,9.7,81.0,0.0,81.0,prof..ritika.malhotra89@gmail.com,1.0,100.0,88.0,Prof. Ritika Malhotra,0.0,0.0,86.27,low,Rahul Bhatnagar,67.0,0.0
68.15,51.0,0.0,41.86,1.0,0.0,0,16.0,0.0,28.77,CDS,23G31B7848,0.0,67.0,86.0,high,44.0,shreya.bhatnagar580@gmail.com,71.23,poor,5.1,0.0,0.0,,dr..anil.singh92@gmail.com,1.0,53.33,61.0,Dr. Anil Singh,0.0,0.0,70.93,medium,Shreya Bhatnagar,67.0,0.0
67.7,47.0,0.0,33.31,2.0,,1,27.0,0.0,67.5,ECE,23G31A6745,0.0,70.0,100.0,low,45.0,ritika.gupta862@gmail.com,32.5,medium,4.7,56.0,0.0,56.0,prof..shreya.nair13@gmail.com,1.0,90.0,70.0,Prof. Shreya Nair,0.0,0.0,70.0,low,Ritika Gupta,70.0,0.0
81.17,22.0,0.0,34.65,1.0,0.0,0,19.0,0.0,32.27,EEE,23G31A2923,0.0,57.0,115.0,high,46.0,ramesh.malhotra565@gmail.com,67.73,poor,2.2,0.0,0.0,,prof..priya.sharma62@gmail.com,1.0,63.33,111.0,Prof. Priya Sharma,0.0,0.0,96.52,low,Ramesh Malhotra,57.0,0.0
52.85,68.0,0.0,38.64,2.0,,1,29.0,0.0,79.83,MECH,23G31A5182,0.0,62.0,104.0,low,47.0,celina.rao994@gmail.com,20.17,high,6.8,79.0,0.0,79.0,dr..sanjay.joshi80@gmail.com,1.0,96.67,50.0,Dr. Sanjay Joshi,0.0,0.0,48.08,low,Celina Rao,62.0,0.0
63.94,37.0,0.0,48.21,1.0,0.0,0,10.0,0.0,21.44,CIVIL,23G31B8244,0.0,76.0,115.0,high,48.0,deepak.malhotra618@gmail.com,78.56,poor,3.7,0.0,0.0,,dr..rajesh.kumar82@gmail.com,1.0,33.33,74.0,Dr. Rajesh Kumar,0.0,0.0,64.35,medium,Deepak Malhotra,76.0,0.0
60.42,26.0,0.0,43.14,2.0,,1,14.0,0.0,60.86,CSE(AI),23G31A9449,0.0,45.0,119.0,low,49.0,sanjay.saxena132@gmail.com,39.14,medium,2.6,73.0,0.0,73.0,dr..sanjay.joshi37@gmail.com,1.0,46.67,83.0,Dr. Sanjay Joshi,0.0,0.0,69.75,medium,Sanjay Saxena,45.0,0.0
53.34,83.0,0.0,40.73,2.0,,1,16.0,0.0,69.65,CDS,23G31A4704,0.0,61.0,81.0,low,51.0,aisha.menon370@gmail.com,30.35,medium,8.3,83.0,0.0,83.0,dr..rajesh.kumar94@gmail.com,1.0,53.33,38.0,Dr. Rajesh Kumar,0.0,0.0,46.91,medium,Aisha Menon,61.0,0.0
79.07,46.0,0.0,30.28,2.0,,1,17.0,0.0,51.66,ECE,23G31A9542,0.0,57.0,101.0,normal,52.0,kriti.joshi370@gmail.com,48.34,medium,4.6,41.0,0.0,41.0,dr..nitin.verma15@gmail.com,1.0,56.67,91.0,Dr. Nitin Verma,0.0,0.0,90.1,low,Kriti Joshi,57.0,0.0
53.06,28.0,0.0,43.79,2.0,,1,29.0,0.0,71.36,EEE,23G31B1544,0.0,60.0,86.0,low,53.0,harsha.bajaj982@gmail.com,28.64,high,2.8,66.0,0.0,66.0,prof..divya.srivastava67@gmail.com,1.0,96.67,47.0,Prof. Divya Srivastava,0.0,0.0,54.65,medium,Harsha Bajaj,60.0,0.0
79.61,26.0,0.0,32.34,1.0,0.0,0,28.0,0.0,41.24,MECH,23G31B8040,0.0,53.0,117.0,normal,54.0,aisha.reddy953@gmail.com,58.76,poor,2.6,0.0,0.0,,prof..meera.desai85@gmail.com,1.0,93.33,111.0,Prof. Meera Desai,0.0,0.0,94.87,low,Aisha Reddy,53.0,0.0
86.64,74.0,0.0,23.95,1.0,0.0,0,24.0,0.0,40.7,CIVIL,23G31A7199,0.0,87.0,103.0,normal,55.0,pooja.sharma881@gmail.com,59.3,poor,7.4,0.0,0.0,,prof..priya.sharma85@gmail.com,1.0,80.0,91.0,Prof. Priya Sharma,0.0,0.0,88.35,low,Pooja Sharma,87.0,0.0
87.95,97.0,0.0,11.84,2.0,,1,30.0,0.0,82.54,CSE(AI),23G31B1993,0.0,81.0,88.0,low,56.0,swati.patel145@gmail.com,17.46,high,9.7,69.0,0.0,69.0,prof..divya.srivastava58@gmail.com,1.0,100.0,78.0,Prof. Divya Srivastava,0.0,0.0,88.64,low,Swati Patel,81.0,0.0
73.36,51.0,0.0,36.88,1.0,0.0,0,20.0,0.0,33.55,CSE,23G31A1182,0.0,94.0,92.0,high,57.0,aryan.joshi379@gmail.com,66.45,poor,5.1,0.0,0.0,,prof..ritika.malhotra24@gmail.com,1.0,66.67,65.0,Prof. Ritika Malhotra,0.0,0.0,70.65,low,Aryan Joshi,94.0,0.0
90.69,98.0,0.0,10.85,2.0,,1,26.0,0.0,80.5,CDS,23G31A9221,0.0,78.0,104.0,low,58.0,maya.bhat965@gmail.com,19.5,high,9.8,72.0,0.0,72.0,dr..rajesh.kumar74@gmail.com,1.0,86.67,97.0,Dr. Rajesh Kumar,0.0,0.0,93.27,low,Maya Bhat,78.0,0.0
77.57,22.0,0.0,26.64,2.0,,1,29.0,0.0,77.73,ECE,23G31B3178,0.0,83.0,81.0,low,59.0,divya.bajaj328@gmail.com,22.27,high,2.2,72.0,0.0,72.0,prof..isha.mishra56@gmail.com,1.0,96.67,68.0,Prof. Isha Mishra,0.0,0.0,83.95,low,Divya Bajaj,83.0,0.0
82.18,75.0,0.0,26.31,1.0,0.0,0,26.0,0.0,42.08,EEE,23G31B7280,0.0,77.0,111.0,normal,60.0,ashok.iyer541@gmail.com,57.92,poor,7.5,0.0,0.0,,prof..kavya.pillai47@gmail.com,1.0,86.67,94.0,Prof. Kavya Pillai,0.0,0.0,84.68,low,Ashok Iyer,77.0,0.0
69.56,89.0,0.0,23.31,2.0,,1,30.0,0.0,90.38,MECH,23G31A2628,0.0,72.0,115.0,low,61.0,sakshi.chatterjee100@gmail.com,9.62,high,8.9,91.0,0.0,91.0,prof..shreya.nair48@gmail.com,1.0,100.0,76.0,Prof. Shreya Nair,0.0,0.0,66.09,low,Sakshi Chatterjee,72.0,0.0
89.19,39.0,0.0,19.2,2.0,,1,26.0,0.0,70.33,CIVIL,23G31A2194,0.0,92.0,90.0,low,62.0,suresh.rao827@gmail.com,29.67,high,3.9,58.0,0.0,58.0,dr..rajesh.kumar30@gmail.com,1.0,86.67,86.0,Dr. Rajesh Kumar,0.0,0.0,95.56,low,Suresh Rao,92.0,0.0
87.28,85.0,0.0,26.4,1.0,0.0,0,12.0,0.0,29.34,CSE(AI),23G31A2583,0.0,80.0,97.0,high,63.0,aditya.singh245@gmail.com,70.66,poor,8.5,0.0,0.0,,prof..isha.mishra82@gmail.com,1.0,40.0,87.0,Prof. Isha Mishra,0.0,0.0,89.69,low,Aditya Singh,80.0,0.0
76.98,44.0,0.0,35.05,1.0,0.0,0,20.0,0.0,33.75,CSE,23G31A9757,0.0,67.0,97.0,high,64.0,rahul.chatterjee536@gmail.com,66.25,poor,4.4,0.0,0.0,,dr..suresh.iyer47@gmail.com,1.0,66.67,82.0,Dr. Suresh Iyer,0.0,0.0,84.54,low,Rahul Chatterjee,67.0,0.0
65.39,32.0,0.0,42.36,1.0,0.0,0,26.0,0.0,37.41,CDS,23G31A8195,0.0,79.0,83.0,high,65.0,aarav.kumar267@gmail.com,62.59,poor,3.2,0.0,0.0,,prof..meera.desai85@gmail.com,1.0,86.67,55.0,Prof. Meera Desai,0.0,0.0,66.27,medium,Aarav Kumar,79.0,0.0
73.36,29.0,0.0,39.41,1.0,0.0,0,19.0,0.0,31.45,ECE,23G31A1443,0.0,60.0,91.0,high,66.0,sneha.chatterjee139@gmail.com,68.55,poor,2.9,0.0,0.0,,prof..ritika.malhotra30@gmail.com,1.0,63.33,76.0,Prof. Ritika Malhotra,0.0,0.0,83.52,low,Sneha Chatterjee,60.0,0.0
51.6,52.0,0.0,51.35,1.0,0.0,0,22.0,0.0,32.34,EEE,23G31A9964,0.0,57.0,104.0,high,67.0,siddharth.bhatnagar373@gmail.com,67.66,poor,5.2,0.0,0.0,,prof..shreya.nair90@gmail.com,1.0,73.33,52.0,Prof. Shreya Nair,0.0,0.0,50.0,medium,Siddharth Bhatnagar,57.0,0.0
53.68,14.0,0.0,47.69,2.0,,1,13.0,0.0,66.75,MECH,23G31B5522,0.0,62.0,86.0,low,68.0,tanvi.nair745@gmail.com,33.25,medium,1.4,90.0,0.0,90.0,dr..sanjay.joshi99@gmail.com,1.0,43.33,49.0,Dr. Sanjay Joshi,0.0,0.0,56.98,medium,Tanvi Nair,62.0,0.0
52.43,57.0,0.0,42.5,2.0,,1,27.0,0.0,68.21,CIVIL,23G31B1562,0.0,50.0,101.0,low,69.0,ramesh.menon565@gmail.com,31.79,medium,5.7,61.0,0.0,61.0,prof..priya.sharma81@gmail.com,1.0,90.0,53.0,Prof. Priya Sharma,0.0,0.0,52.48,medium,Ramesh Menon,50.0,0.0
61.69,48.0,0.0,46.68,1.0,0.0,0,16.0,0.0,27.65,CSE(AI),23G31A6359,0.0,93.0,117.0,high,70.0,sakshi.bansal453@gmail.com,72.35,poor,4.8,0.0,0.0,,prof..divya.srivastava84@gmail.com,1.0,53.33,64.0,Prof. Divya Srivastava,0.0,0.0,54.7,medium,Sakshi Bansal,93.0,0.0
46.68,11.0,0.0,56.56,1.0,0.0,0,29.0,0.0,36.55,CSE,23G31A7285,0.0,68.0,81.0,high,71.0,nisha.chatterjee190@gmail.com,63.45,poor,1.1,0.0,0.0,,dr..suresh.iyer10@gmail.com,1.0,96.67,37.0,Dr. Suresh Iyer,0.0,0.0,45.68,medium,Nisha Chatterjee,68.0,0.0
71.1,36.0,0.0,34.09,2.0,,1,16.0,0.0,64.47,CDS,23G31A1373,0.0,43.0,82.0,low,72.0,siddharth.dasgupta385@gmail.com,35.53,medium,3.6,72.0,0.0,72.0,dr..anil.singh42@gmail.com,1.0,53.33,69.0,Dr. Anil Singh,0.0,0.0,84.15,low,Siddharth Dasgupta,43.0,0.0
67.45,18.0,0.0,36.85,2.0,,1,25.0,0.0,65.02,ECE,23G31A8059,0.0,69.0,108.0,low,73.0,nikhil.menon960@gmail.com,34.98,medium,1.8,58.0,0.0,58.0,prof..divya.srivastava51@gmail.com,1.0,83.33,80.0,Prof. Divya Srivastava,0.0,0.0,74.07,low,Nikhil Menon,69.0,0.0
79.87,58.0,0.0,30.62,1.0,0.0,0,23.0,0.0,37.88,EEE,23G31B3134,0.0,83.0,95.0,high,74.0,rajesh.sinha439@gmail.com,62.12,poor,5.8,0.0,0.0,,dr..harish.rao49@gmail.com,1.0,76.67,78.0,Dr. Harish Rao,0.0,0.0,82.11,low,Rajesh Sinha,83.0,0.0
81.32,76.0,0.0,24.84,2.0,,1,19.0,0.0,56.5,MECH,23G31B9021,0.0,47.0,111.0,normal,75.0,vishal.gupta624@gmail.com,43.5,medium,7.6,43.0,0.0,43.0,dr..nitin.verma22@gmail.com,1.0,63.33,102.0,Dr. Nitin Verma,0.0,0.0,91.89,low,Vishal Gupta,47.0,0.0
68.66,83.0,0.0,36.64,1.0,0.0,0,21.0,0.0,35.45,CIVIL,23G31A5156,0.0,62.0,108.0,high,76.0,ashok.mishra848@gmail.com,64.55,poor,8.3,0.0,0.0,,prof..isha.mishra94@gmail.com,1.0,70.0,74.0,Prof. Isha Mishra,0.0,0.0,68.52,low,Ashok Mishra,62.0,0.0
61.6,58.0,0.0,36.75,2.0,,1,25.0,0.0,67.14,CSE(AI),23G31A8200,0.0,83.0,100.0,low,77.0,shreya.saxena906@gmail.com,32.86,medium,5.8,60.0,0.0,60.0,dr..sanjay.joshi81@gmail.com,1.0,83.33,56.0,Dr. Sanjay Joshi,0.0,0.0,56.0,low,Shreya Saxena,83.0,0.0
76.95,82.0,0.0,33.6,1.0,0.0,0,13.0,0.0,28.64,CSE,23G31A1417,0.0,92.0,114.0,high,78.0,aditya.dasgupta415@gmail.com,71.36,poor,8.2,0.0,0.0,,dr..nitin.verma24@gmail.com,1.0,43.33,82.0,Dr. Nitin Verma,0.0,0.0,71.93,low,Aditya Dasgupta,92.0,0.0
81.75,71.0,0.0,18.57,2.0,,1,24.0,0.0,85.31,CDS,23G31A5093,0.0,71.0,110.0,low,79.0,anjali.bajaj857@gmail.com,14.69,high,7.1,91.0,0.0,91.0,dr..suresh.iyer68@gmail.com,1.0,80.0,95.0,Dr. Suresh Iyer,0.0,0.0,86.36,low,Anjali Bajaj,71.0,0.0
83.28,94.0,0.0,24.1,2.0,,1,12.0,0.0,50.19,ECE,23G31B6025,0.0,40.0,85.0,normal,80.0,aryan.das999@gmail.com,49.81,medium,9.4,42.0,0.0,42.0,prof..isha.mishra39@gmail.com,1.0,40.0,80.0,Prof. Isha Mishra,0.0,0.0,94.12,low,Aryan Das,40.0,0.0
75.96,36.0,0.0,37.23,1.0,0.0,0,18.0,0.0,31.19,EEE,23G31B1770,0.0,59.0,89.0,high,81.0,ramesh.dasgupta955@gmail.com,68.81,poor,3.6,0.0,0.0,,dr..anil.singh73@gmail.com,1.0,60.0,77.0,Dr. Anil Singh,0.0,0.0,86.52,low,Ramesh Dasgupta,59.0,0.0
61.57,26.0,0.0,49.63,1.0,0.0,0,14.0,0.0,24.54,MECH,23G31A5383,0.0,94.0,115.0,high,82.0,deepak.bansal439@gmail.com,75.46,poor,2.6,0.0,0.0,,dr..sanjay.joshi91@gmail.com,1.0,46.67,66.0,Dr. Sanjay Joshi,0.0,0.0,57.39,medium,Deepak Bansal,94.0,0.0
73.64,17.0,0.0,42.42,1.0,0.0,0,13.0,0.0,24.9,CIVIL,23G31B6399,0.0,45.0,109.0,high,83.0,ravi.bajaj900@gmail.com,75.1,poor,1.7,0.0,0.0,,prof..priya.sharma14@gmail.com,1.0,43.33,98.0,Prof. Priya Sharma,0.0,0.0,89.91,medium,Ravi Bajaj,45.0,0.0
