S.NO,NAME,RNO,EMAIL,DEPT,YEAR,CURR_SEM,MENTOR,MENTOR_EMAIL,SEM1,SEM2,SEM3,SEM4,SEM5,SEM6,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10,computed_features,performance_label,risk_label,dropout_label,performance_overall,risk_score,dropout_score,23G31A1001,Arjun Menon,CSE,1,2,avg_marks=78;attendance=85;behavior=8.5,high,low,low.1,82.4,18.6,15.2,reg_number,student_id,name,email,department,year,semester,mentor_name,mentor_email,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,age,total_marks,attendance,cgpa,backlog_count,AGE
16.0,Karthik Joshi,23G31B5370,karthik.joshi610@gmail.com,CDS,1.0,2.0,Dr. Vikram Reddy,dr..vikram.reddy24@gmail.com,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.0,104.0,102.0,60.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Sneha Reddy,23G31A8586,sneha.reddy286@gmail.com,ECE,1.0,2.0,Prof. Isha Mishra,prof..isha.mishra48@gmail.com,65.0,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,113.0,101.0,59.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Sneha Desai,23G31A3295,sneha.desai282@gmail.com,EEE,1.0,2.0,Dr. Suresh Iyer,dr..suresh.iyer43@gmail.com,64.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,96.0,84.0,93.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,Deepak Desai,23G31A8137,deepak.desai415@gmail.com,MECH,1.0,1.0,Dr. Harish Rao,dr..harish.rao22@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,113.0,85.0,76.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Ramesh Malhotra,23G31B9891,ramesh.malhotra763@gmail.com,CIVIL,1.0,2.0,Prof. Meera Desai,prof..meera.desai11@gmail.com,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,86.0,76.0,68.0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,Nitin Saxena,23G31B8855,nitin.saxena250@gmail.com,CSE(AI),1.0,1.0,Prof. Shreya Nair,prof..shreya.nair55@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,96.0,63.0,45.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,Meera Rao,23G31A1368,meera.rao743@gmail.com,CSE,1.0,2.0,Prof. Isha Mishra,prof..isha.mishra36@gmail.com,92.0,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,83.0,36.0,54.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,Esha Reddy,23G31A5007,esha.reddy143@gmail.com,CDS,1.0,1.0,Dr. Sanjay Joshi,dr..sanjay.joshi15@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,99.0,58.0,95.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,Simran Bhatnagar,23G31A5245,simran.bhatnagar384@gmail.com,ECE,1.0,1.0,Dr. Sanjay Joshi,dr..sanjay.joshi87@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,120.0,116.01,91.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,Rajesh Agarwal,23G31B6388,rajesh.agarwal570@gmail.com,EEE,1.0,1.0,Prof. Isha Mishra,prof..isha.mishra85@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,107.0,105.0,92.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,Aisha Chatterjee,23G31A8215,aisha.chatterjee133@gmail.com,MECH,1.0,1.0,Prof. Shreya Nair,prof..shreya.nair24@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,84.0,57.0,41.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,Anjali Agarwal,23G31B4787,anjali.agarwal608@gmail.com,CIVIL,1.0,2.0,Dr. Rajesh Kumar,dr..rajesh.kumar40@gmail.com,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,88.0,51.0,78.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,Sanjay Das,23G31B1623,sanjay.das796@gmail.com,CSE(AI),1.0,1.0,Dr. Anil Singh,dr..anil.singh35@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,115.0,113.0,41.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,Bhavna Bhat,23G31B7131,bhavna.bhat389@gmail.com,CSE,1.0,1.0,Prof. Kavya Pillai,prof..kavya.pillai79@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,85.0,36.0,43.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,Kavya Iyer,23G31B1420,kavya.iyer464@gmail.com,CDS,1.0,1.0,Dr. Rohan Kapoor,dr..rohan.kapoor49@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,105.0,76.0,88.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,Suresh Singh,23G31A9885,suresh.singh226@gmail.com,ECE,1.0,2.0,Prof. Kavya Pillai,prof..kavya.pillai52@gmail.com,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.0,111.0,77.0,46.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,Varun Pillai,23G31A4634,varun.pillai787@gmail.com,EEE,1.0,2.0,Dr. Harish Rao,dr..harish.rao43@gmail.com,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,100.0,84.0,72.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,Suresh Das,23G31B3541,suresh.das630@gmail.com,CIVIL,1.0,1.0,Dr. Rohan Kapoor,dr..rohan.kapoor62@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,120.0,88.0,59.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,Sandeep Kumar,23G31A1993,sandeep.kumar414@gmail.com,CSE(AI),1.0,2.0,Dr. Vikram Reddy,dr..vikram.reddy25@gmail.com,91.0,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,89.0,75.0,83.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,Kavya Iyer,23G31A8228,kavya.iyer613@gmail.com,CSE,1.0,1.0,Prof. Priya Sharma,prof..priya.sharma31@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,99.0,83.0,48.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,Rajesh Srivastava,23G31A7082,rajesh.srivastava730@gmail.com,CDS,1.0,2.0,Dr. Rohan Kapoor,dr..rohan.kapoor96@gmail.com,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,117.0,49.0,49.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,Siddharth Menon,23G31B5451,siddharth.menon162@gmail.com,ECE,1.0,2.0,Dr. Sanjay Joshi,dr..sanjay.joshi29@gmail.com,82.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.0,116.0,109.0,60.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,Ajay Bhat,23G31A3458,ajay.bhat939@gmail.com,EEE,1.0,2.0,Prof. Anjali Menon,prof..anjali.menon33@gmail.com,54.0,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,80.0,61.0,73.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,Divya Mishra,23G31B6380,divya.mishra334@gmail.com,MECH,1.0,1.0,Prof. Anjali Menon,prof..anjali.menon50@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,85.0,58.0,70.0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,Sanjay Verma,23G31A1497,sanjay.verma396@gmail.com,CIVIL,1.0,2.0,Dr. Nitin Verma,dr..nitin.verma37@gmail.com,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,86.0,42.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,Meera Patel,23G31A3158,meera.patel159@gmail.com,CSE(AI),1.0,1.0,Prof. Kavya Pillai,prof..kavya.pillai54@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,95.0,46.0,91.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,Rahul Bhatnagar,23G31A6353,rahul.bhatnagar835@gmail.com,CSE,1.0,2.0,Prof. Ritika Malhotra,prof..ritika.malhotra89@gmail.com,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,102.0,88.0,67.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,Shreya Bhatnagar,23G31B7848,shreya.bhatnagar580@gmail.com,CDS,1.0,1.0,Dr. Anil Singh,dr..anil.singh92@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,86.0,61.0,67.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,Ritika Gupta,23G31A6745,ritika.gupta862@gmail.com,ECE,1.0,2.0,Prof. Shreya Nair,prof..shreya.nair13@gmail.com,56.0,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,100.0,70.0,70.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,Ramesh Malhotra,23G31A2923,ramesh.malhotra565@gmail.com,EEE,1.0,1.0,Prof. Priya Sharma,prof..priya.sharma62@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,115.0,111.0,57.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,Celina Rao,23G31A5182,celina.rao994@gmail.com,MECH,1.0,2.0,Dr. Sanjay Joshi,dr..sanjay.joshi80@gmail.com,79.0,,0.0,0.0,0.0,0.0,0.0,0.0,29.0,104.0,50.0,62.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,Deepak Malhotra,23G31B8244,deepak.malhotra618@gmail.com,CIVIL,1.0,1.0,Dr. Rajesh Kumar,dr..rajesh.kumar82@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,115.0,74.0,76.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,Sanjay Saxena,23G31A9449,sanjay.saxena132@gmail.com,CSE(AI),1.0,2.0,Dr. Sanjay Joshi,dr..sanjay.joshi37@gmail.com,73.0,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,119.0,83.0,45.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,Aisha Menon,23G31A4704,aisha.menon370@gmail.com,CDS,1.0,2.0,Dr. Rajesh Kumar,dr..rajesh.kumar94@gmail.com,83.0,,0.0,0.0,0.0,0.0,0.0,0.0,16.0,81.0,38.0,61.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,Kriti Joshi,23G31A9542,kriti.joshi370@gmail.com,ECE,1.0,2.0,Dr. Nitin Verma,dr..nitin.verma15@gmail.com,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,101.0,91.0,57.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,Harsha Bajaj,23G31B1544,harsha.bajaj982@gmail.com,EEE,1.0,2.0,Prof. Divya Srivastava,prof..divya.srivastava67@gmail.com,66.0,,0.0,0.0,0.0,0.0,0.0,0.0,29.0,86.0,47.0,60.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,Aisha Reddy,23G31B8040,aisha.reddy953@gmail.com,MECH,1.0,1.0,Prof. Meera Desai,prof..meera.desai85@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,117.0,111.0,53.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,Pooja Sharma,23G31A7199,pooja.sharma881@gmail.com,CIVIL,1.0,1.0,Prof. Priya Sharma,prof..priya.sharma85@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,103.0,91.0,87.0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,Swati Patel,23G31B1993,swati.patel145@gmail.com,CSE(AI),1.0,2.0,Prof. Divya Srivastava,prof..divya.srivastava58@gmail.com,69.0,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,88.0,78.0,81.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,Aryan Joshi,23G31A1182,aryan.joshi379@gmail.com,CSE,1.0,1.0,Prof. Ritika Malhotra,prof..ritika.malhotra24@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,92.0,65.0,94.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,Maya Bhat,23G31A9221,maya.bhat965@gmail.com,CDS,1.0,2.0,Dr. Rajesh Kumar,dr..rajesh.kumar74@gmail.com,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,26.0,104.0,97.0,78.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,Divya Bajaj,23G31B3178,divya.bajaj328@gmail.com,ECE,1.0,2.0,Prof. Isha Mishra,prof..isha.mishra56@gmail.com,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,29.0,81.0,68.0,83.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,Ashok Iyer,23G31B7280,ashok.iyer541@gmail.com,EEE,1.0,1.0,Prof. Kavya Pillai,prof..kavya.pillai47@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,111.0,94.0,77.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,Sakshi Chatterjee,23G31A2628,sakshi.chatterjee100@gmail.com,MECH,1.0,2.0,Prof. Shreya Nair,prof..shreya.nair48@gmail.com,91.0,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,115.0,76.0,72.0,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,Suresh Rao,23G31A2194,suresh.rao827@gmail.com,CIVIL,1.0,2.0,Dr. Rajesh Kumar,dr..rajesh.kumar30@gmail.com,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,26.0,90.0,86.0,92.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,Aditya Singh,23G31A2583,aditya.singh245@gmail.com,CSE(AI),1.0,1.0,Prof. Isha Mishra,prof..isha.mishra82@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,97.0,87.0,80.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,Rahul Chatterjee,23G31A9757,rahul.chatterjee536@gmail.com,CSE,1.0,1.0,Dr. Suresh Iyer,dr..suresh.iyer47@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,97.0,82.0,67.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,Aarav Kumar,23G31A8195,aarav.kumar267@gmail.com,CDS,1.0,1.0,Prof. Meera Desai,prof..meera.desai85@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,83.0,55.0,79.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,Sneha Chatterjee,23G31A1443,sneha.chatterjee139@gmail.com,ECE,1.0,1.0,Prof. Ritika Malhotra,prof..ritika.malhotra30@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,91.0,76.0,60.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,Siddharth Bhatnagar,23G31A9964,siddharth.bhatnagar373@gmail.com,EEE,1.0,1.0,Prof. Shreya Nair,prof..shreya.nair90@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,104.0,52.0,57.0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,Tanvi Nair,23G31B5522,tanvi.nair745@gmail.com,MECH,1.0,2.0,Dr. Sanjay Joshi,dr..sanjay.joshi99@gmail.com,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.0,86.0,49.0,62.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,Ramesh Menon,23G31B1562,ramesh.menon565@gmail.com,CIVIL,1.0,2.0,Prof. Priya Sharma,prof..priya.sharma81@gmail.com,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,101.0,53.0,50.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,Sakshi Bansal,23G31A6359,sakshi.bansal453@gmail.com,CSE(AI),1.0,1.0,Prof. Divya Srivastava,prof..divya.srivastava84@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,117.0,64.0,93.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,Nisha Chatterjee,23G31A7285,nisha.chatterjee190@gmail.com,CSE,1.0,1.0,Dr. Suresh Iyer,dr..suresh.iyer10@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,81.0,37.0,68.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,Siddharth Dasgupta,23G31A1373,siddharth.dasgupta385@gmail.com,CDS,1.0,2.0,Dr. Anil Singh,dr..anil.singh42@gmail.com,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,16.0,82.0,69.0,43.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,Nikhil Menon,23G31A8059,nikhil.menon960@gmail.com,ECE,1.0,2.0,Prof. Divya Srivastava,prof..divya.srivastava51@gmail.com,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,108.0,80.0,69.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,Rajesh Sinha,23G31B3134,rajesh.sinha439@gmail.com,EEE,1.0,1.0,Dr. Harish Rao,dr..harish.rao49@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,95.0,78.0,83.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,Vishal Gupta,23G31B9021,vishal.gupta624@gmail.com,MECH,1.0,2.0,Dr. Nitin Verma,dr..nitin.verma22@gmail.com,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,19.0,111.0,102.0,47.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,Ashok Mishra,23G31A5156,ashok.mishra848@gmail.com,CIVIL,1.0,1.0,Prof. Isha Mishra,prof..isha.mishra94@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,108.0,74.0,62.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,Shreya Saxena,23G31A8200,shreya.saxena906@gmail.com,CSE(AI),1.0,2.0,Dr. Sanjay Joshi,dr..sanjay.joshi81@gmail.com,60.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,56.0,83.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,Aditya Dasgupta,23G31A1417,aditya.dasgupta415@gmail.com,CSE,1.0,1.0,Dr. Nitin Verma,dr..nitin.verma24@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,114.0,82.0,92.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,Anjali Bajaj,23G31A5093,anjali.bajaj857@gmail.com,CDS,1.0,2.0,Dr. Suresh Iyer,dr..suresh.iyer68@gmail.com,91.0,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,110.0,95.0,71.0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,Aryan Das,23G31B6025,aryan.das999@gmail.com,ECE,1.0,2.0,Prof. Isha Mishra,prof..isha.mishra39@gmail.com,42.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,85.0,80.0,40.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,Ramesh Dasgupta,23G31B1770,ramesh.dasgupta955@gmail.com,EEE,1.0,1.0,Dr. Anil Singh,dr..anil.singh73@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,89.0,77.0,59.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,Deepak Bansal,23G31A5383,deepak.bansal439@gmail.com,MECH,1.0,1.0,Dr. Sanjay Joshi,dr..sanjay.joshi91@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,115.0,66.0,94.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,Ravi Bajaj,23G31B6399,ravi.bajaj900@gmail.com,CIVIL,1.0,1.0,Prof. Priya Sharma,prof..priya.sharma14@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,109.0,98.0,45.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,Shreya Dutta,23G31B4261,shreya.dutta594@gmail.com,CSE(AI),1.0,2.0,Prof. Divya Srivastava,prof..divya.srivastava88@gmail.com,98.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,115.0,93.0,84.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,Karthik Pillai,23G31A1321,karthik.pillai953@gmail.com,CSE,1.0,2.0,Dr. Rohan Kapoor,dr..rohan.kapoor73@gmail.com,92.0,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,100.0,96.0,62.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
