S.NO,NAME,RNO,EMAIL,DEPT,YEAR,SEM,CURR_SEM,MENTOR,MENTOR_EMAIL,SEM1,SEM2,SEM3,SEM4,SEM5,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10
11,Sanjay Bhat,23G31B5317,sanjay.bhat324@gmail.com,EEE,1,1-2,2,Dr. Vikram Reddy,dr..vikram.reddy67@gmail.com,56,,,,,,,13,94,56,66,2.8
12,Varun Patel,23G31A4061,varun.patel485@gmail.com,MECH,1,1-2,2,Prof. Meera Desai,prof..meera.desai52@gmail.com,58,,,,,,,27,116,53,52,3.1
13,Nikhil Iyer,23G31B5477,nikhil.iyer957@gmail.com,CIVIL,1,1-2,2,Dr. Anil Singh,dr..anil.singh71@gmail.com,47,,,,,,,10,93,64,58,6.1
14,Ashok Menon,23G31B8275,ashok.menon415@gmail.com,CSE(AI),1,1-2,2,Prof. Ritika Malhotra,prof..ritika.malhotra80@gmail.com,79,,,,,,,28,84,58,78,7.7
15,Mohan Patel,23G31A4790,mohan.patel292@gmail.com,CSE,1,1-1,1,Dr. Suresh Iyer,dr..suresh.iyer88@gmail.com,,,,,,,,18,90,72,66,3.7
16,Karthik Joshi,23G31B5370,karthik.joshi610@gmail.com,CDS,1,1-2,2,Dr. Vikram Reddy,dr..vikram.reddy24@gmail.com,61,,,,,,,13,104,102,60,3.8
17,Sneha Reddy,23G31A8586,sneha.reddy286@gmail.com,ECE,1,1-2,2,Prof. Isha Mishra,prof..isha.mishra48@gmail.com,65,,,,,,,19,113,101,59,9.0
18,Sneha Desai,23G31A3295,sneha.desai282@gmail.com,EEE,1,1-2,2,Dr. Suresh Iyer,dr..suresh.iyer43@gmail.com,64,,,,,,,15,96,84,93,7.7
19,Deepak Desai,23G31A8137,deepak.desai415@gmail.com,MECH,1,1-1,1,Dr. Harish Rao,dr..harish.rao22@gmail.com,,,,,,,,28,113,85,76,5.0
20,Ramesh Malhotra,23G31B9891,ramesh.malhotra763@gmail.com,CIVIL,1,1-2,2,Prof. Meera Desai,prof..meera.desai11@gmail.com,72,,,,,,,19,86,76,68,7.3
21,Nitin Saxena,23G31B8855,nitin.saxena250@gmail.com,CSE(AI),1,1-1,1,Prof. Shreya Nair,prof..shreya.nair55@gmail.com,,,,,,,,12,96,63,45,9.0
22,Meera Rao,23G31A1368,meera.rao743@gmail.com,CSE,1,1-2,2,Prof. Isha Mishra,prof..isha.mishra36@gmail.com,92,,,,,,,24,83,35,54,9.0
23,Esha Reddy,23G31A5007,esha.reddy143@gmail.com,CDS,1,1-1,1,Dr. Sanjay Joshi,dr..sanjay.joshi15@gmail.com,,,,,,,,13,99,58,95,5.5
24,Simran Bhatnagar,23G31A5245,simran.bhatnagar384@gmail.com,ECE,1,1-1,1,Dr. Sanjay Joshi,dr..sanjay.joshi87@gmail.com,,,,,,,,15,120,117,91,6.2
25,Rajesh Agarwal,23G31B6388,rajesh.agarwal570@gmail.com,EEE,1,1-1,1,Prof. Isha Mishra,prof..isha.mishra85@gmail.com,,,,,,,,24,107,105,92,1.2
26,Aisha Chatterjee,23G31A8215,aisha.chatterjee133@gmail.com,MECH,1,1-1,1,Prof. Shreya Nair,prof..shreya.nair24@gmail.com,,,,,,,,24,84,57,41,6.7
27,Anjali Agarwal,23G31B4787,anjali.agarwal608@gmail.com,CIVIL,1,1-2,2,Dr. Rajesh Kumar,dr..rajesh.kumar40@gmail.com,62,,,,,,,12,88,51,78,1.6
28,Sanjay Das,23G31B1623,sanjay.das796@gmail.com,CSE(AI),1,1-1,1,Dr. Anil Singh,dr..anil.singh35@gmail.com,,,,,,,,27,115,113,41,4.2
29,Bhavna Bhat,23G31B7131,bhavna.bhat389@gmail.com,CSE,1,1-1,1,Prof. Kavya Pillai,prof..kavya.pillai79@gmail.com,,,,,,,,24,85,34,43,1.2
30,Kavya Iyer,23G31B1420,kavya.iyer464@gmail.com,CDS,1,1-1,1,Dr. Rohan Kapoor,dr..rohan.kapoor49@gmail.com,,,,,,,,13,105,76,88,3.8
31,Suresh Singh,23G31A9885,suresh.singh226@gmail.com,ECE,1,1-2,2,Prof. Kavya Pillai,prof..kavya.pillai52@gmail.com,75,,,,,,,13,111,77,46,5.0
32,Varun Pillai,23G31A4634,varun.pillai787@gmail.com,EEE,1,1-2,2,Dr. Harish Rao,dr..harish.rao43@gmail.com,72,,,,,,,20,100,84,72,5.6
33,Ashok Bansal,23G31B5221,ashok.bansal895@gmail.com,MECH,1,1-1,1,Dr. Sanjay Joshi,dr..sanjay.joshi61@gmail.com,,,,,,,,10,120,107,58,2.7
34,Suresh Das,23G31B3541,suresh.das630@gmail.com,CIVIL,1,1-1,1,Dr. Rohan Kapoor,dr..rohan.kapoor62@gmail.com,,,,,,,,18,120,88,59,6.5
35,Sandeep Kumar,23G31A1993,sandeep.kumar414@gmail.com,CSE(AI),1,1-2,2,Dr. Vikram Reddy,dr..vikram.reddy25@gmail.com,91,,,,,,,18,89,75,83,8.2
36,Kavya Iyer,23G31A8228,kavya.iyer613@gmail.com,CSE,1,1-1,1,Prof. Priya Sharma,prof..priya.sharma31@gmail.com,,,,,,,,22,99,83,48,5.7
37,Rajesh Srivastava,23G31A7082,rajesh.srivastava730@gmail.com,CDS,1,1-2,2,Dr. Rohan Kapoor,dr..rohan.kapoor96@gmail.com,81,,,,,,,25,117,49,49,2.1
38,Siddharth Menon,23G31B5451,siddharth.menon162@gmail.com,ECE,1,1-2,2,Dr. Sanjay Joshi,dr..sanjay.joshi29@gmail.com,82,,,,,,,28,116,109,60,8.5
39,Ajay Bhat,23G31A3458,ajay.bhat939@gmail.com,EEE,1,1-2,2,Prof. Anjali Menon,prof..anjali.menon33@gmail.com,54,,,,,,,30,80,61,73,2.4
40,Divya Mishra,23G31B6380,divya.mishra334@gmail.com,MECH,1,1-1,1,Prof. Anjali Menon,prof..anjali.menon50@gmail.com,,,,,,,,25,85,58,70,7.3
41,Sanjay Verma,23G31A1497,sanjay.verma396@gmail.com,CIVIL,1,1-2,2,Dr. Nitin Verma,dr..nitin.verma37@gmail.com,41,,,,,,,28,100,86,42,5.3
42,Meera Patel,23G31A3158,meera.patel159@gmail.com,CSE(AI),1,1-1,1,Prof. Kavya Pillai,prof..kavya.pillai54@gmail.com,,,,,,,,26,95,46,91,1.3
43,Rahul Bhatnagar,23G31A6353,rahul.bhatnagar835@gmail.com,CSE,1,1-2,2,Prof. Ritika Malhotra,prof..ritika.malhotra89@gmail.com,81,,,,,,,30,102,88,67,9.7
44,Shreya Bhatnagar,23G31B7848,shreya.bhatnagar580@gmail.com,CDS,1,1-1,1,Dr. Anil Singh,dr..anil.singh92@gmail.com,,,,,,,,16,86,61,67,5.1
45,Ritika Gupta,23G31A6745,ritika.gupta862@gmail.com,ECE,1,1-2,2,Prof. Shreya Nair,prof..shreya.nair13@gmail.com,56,,,,,,,27,100,70,70,4.7
46,Ramesh Malhotra,23G31A2923,ramesh.malhotra565@gmail.com,EEE,1,1-1,1,Prof. Priya Sharma,prof..priya.sharma62@gmail.com,,,,,,,,19,115,111,57,2.2
47,Celina Rao,23G31A5182,celina.rao994@gmail.com,MECH,1,1-2,2,Dr. Sanjay Joshi,dr..sanjay.joshi80@gmail.com,79,,,,,,,29,104,50,62,6.8
48,Deepak Malhotra,23G31B8244,deepak.malhotra618@gmail.com,CIVIL,1,1-1,1,Dr. Rajesh Kumar,dr..rajesh.kumar82@gmail.com,,,,,,,,10,115,74,76,3.7
49,Sanjay Saxena,23G31A9449,sanjay.saxena132@gmail.com,CSE(AI),1,1-2,2,Dr. Sanjay Joshi,dr..sanjay.joshi37@gmail.com,73,,,,,,,14,119,83,45,2.6
50,Maya Iyer,23G31A2532,maya.iyer280@gmail.com,CSE,1,1-2,2,Prof. Divya Srivastava,prof..divya.srivastava43@gmail.com,56,,,,,,,24,103,43,92,2.1
51,Aisha Menon,23G31A4704,aisha.menon370@gmail.com,CDS,1,1-2,2,Dr. Rajesh Kumar,dr..rajesh.kumar94@gmail.com,83,,,,,,,16,81,38,61,8.3
52,Kriti Joshi,23G31A9542,kriti.joshi370@gmail.com,ECE,1,1-2,2,Dr. Nitin Verma,dr..nitin.verma15@gmail.com,40,,,,,,,17,101,91,57,4.6
53,Harsha Bajaj,23G31B1544,harsha.bajaj982@gmail.com,EEE,1,1-2,2,Prof. Divya Srivastava,prof..divya.srivastava67@gmail.com,66,,,,,,,29,86,47,60,2.8
54,Aisha Reddy,23G31B8040,aisha.reddy953@gmail.com,MECH,1,1-1,1,Prof. Meera Desai,prof..meera.desai85@gmail.com,,,,,,,,28,117,111,53,2.6
55,Pooja Sharma,23G31A7199,pooja.sharma881@gmail.com,CIVIL,1,1-1,1,Prof. Priya Sharma,prof..priya.sharma85@gmail.com,,,,,,,,24,103,91,87,7.4
56,Swati Patel,23G31B1993,swati.patel145@gmail.com,CSE(AI),1,1-2,2,Prof. Divya Srivastava,prof..divya.srivastava58@gmail.com,69,,,,,,,30,88,78,81,9.7
57,Aryan Joshi,23G31A1182,aryan.joshi379@gmail.com,CSE,1,1-1,1,Prof. Ritika Malhotra,prof..ritika.malhotra24@gmail.com,,,,,,,,20,92,65,94,5.1
58,Maya Bhat,23G31A9221,maya.bhat965@gmail.com,CDS,1,1-2,2,Dr. Rajesh Kumar,dr..rajesh.kumar74@gmail.com,72,,,,,,,26,104,97,78,9.8
59,Divya Bajaj,23G31B3178,divya.bajaj328@gmail.com,ECE,1,1-2,2,Prof. Isha Mishra,prof..isha.mishra56@gmail.com,72,,,,,,,29,81,68,83,2.2
60,Ashok Iyer,23G31B7280,ashok.iyer541@gmail.com,EEE,1,1-1,1,Prof. Kavya Pillai,prof..kavya.pillai47@gmail.com,,,,,,,,26,111,94,77,7.5
61,Sakshi Chatterjee,23G31A2628,sakshi.chatterjee100@gmail.com,MECH,1,1-2,2,Prof. Shreya Nair,prof..shreya.nair48@gmail.com,91,,,,,,,30,115,76,72,8.9
62,Suresh Rao,23G31A2194,suresh.rao827@gmail.com,CIVIL,1,1-2,2,Dr. Rajesh Kumar,dr..rajesh.kumar30@gmail.com,58,,,,,,,26,90,86,92,3.9
63,Aditya Singh,23G31A2583,aditya.singh245@gmail.com,CSE(AI),1,1-1,1,Prof. Isha Mishra,prof..isha.mishra82@gmail.com,,,,,,,,12,97,87,80,8.5
64,Rahul Chatterjee,23G31A9757,rahul.chatterjee536@gmail.com,CSE,1,1-1,1,Dr. Suresh Iyer,dr..suresh.iyer47@gmail.com,,,,,,,,20,97,82,67,4.4
65,Aarav Kumar,23G31A8195,aarav.kumar267@gmail.com,CDS,1,1-1,1,Prof. Meera Desai,prof..meera.desai85@gmail.com,,,,,,,,26,83,55,79,3.2
66,Sneha Chatterjee,23G31A1443,sneha.chatterjee139@gmail.com,ECE,1,1-1,1,Prof. Ritika Malhotra,prof..ritika.malhotra30@gmail.com,,,,,,,,19,91,76,60,2.9
67,Siddharth Bhatnagar,23G31A9964,siddharth.bhatnagar373@gmail.com,EEE,1,1-1,1,Prof. Shreya Nair,prof..shreya.nair90@gmail.com,,,,,,,,22,104,52,57,5.2
68,Tanvi Nair,23G31B5522,tanvi.nair745@gmail.com,MECH,1,1-2,2,Dr. Sanjay Joshi,dr..sanjay.joshi99@gmail.com,90,,,,,,,13,86,49,62,1.4
69,Ramesh Menon,23G31B1562,ramesh.menon565@gmail.com,CIVIL,1,1-2,2,Prof. Priya Sharma,prof..priya.sharma81@gmail.com,61,,,,,,,27,101,53,50,5.7
70,Sakshi Bansal,23G31A6359,sakshi.bansal453@gmail.com,CSE(AI),1,1-1,1,Prof. Divya Srivastava,prof..divya.srivastava84@gmail.com,,,,,,,,16,117,64,93,4.8
71,Nisha Chatterjee,23G31A7285,nisha.chatterjee190@gmail.com,CSE,1,1-1,1,Dr. Suresh Iyer,dr..suresh.iyer10@gmail.com,,,,,,,,29,81,37,68,1.0
72,Siddharth Dasgupta,23G31A1373,siddharth.dasgupta385@gmail.com,CDS,1,1-2,2,Dr. Anil Singh,dr..anil.singh42@gmail.com,72,,,,,,,16,82,69,43,3.6
73,Nikhil Menon,23G31A8059,nikhil.menon960@gmail.com,ECE,1,1-2,2,Prof. Divya Srivastava,prof..divya.srivastava51@gmail.com,58,,,,,,,25,108,80,69,1.8
74,Rajesh Sinha,23G31B3134,rajesh.sinha439@gmail.com,EEE,1,1-1,1,Dr. Harish Rao,dr..harish.rao49@gmail.com,,,,,,,,23,95,78,83,5.8
75,Vishal Gupta,23G31B9021,vishal.gupta624@gmail.com,MECH,1,1-2,2,Dr. Nitin Verma,dr..nitin.verma22@gmail.com,43,,,,,,,19,111,102,47,7.6
76,Ashok Mishra,23G31A5156,ashok.mishra848@gmail.com,CIVIL,1,1-1,1,Prof. Isha Mishra,prof..isha.mishra94@gmail.com,,,,,,,,21,108,74,62,8.3
77,Shreya Saxena,23G31A8200,shreya.saxena906@gmail.com,CSE(AI),1,1-2,2,Dr. Sanjay Joshi,dr..sanjay.joshi81@gmail.com,60,,,,,,,25,100,56,83,5.8
78,Aditya Dasgupta,23G31A1417,aditya.dasgupta415@gmail.com,CSE,1,1-1,1,Dr. Nitin Verma,dr..nitin.verma24@gmail.com,,,,,,,,13,114,82,92,8.2
79,Anjali Bajaj,23G31A5093,anjali.bajaj857@gmail.com,CDS,1,1-2,2,Dr. Suresh Iyer,dr..suresh.iyer68@gmail.com,91,,,,,,,24,110,95,71,7.1
80,Aryan Das,23G31B6025,aryan.das999@gmail.com,ECE,1,1-2,2,Prof. Isha Mishra,prof..isha.mishra39@gmail.com,42,,,,,,,12,85,80,40,9.4
81,Ramesh Dasgupta,23G31B1770,ramesh.dasgupta955@gmail.com,EEE,1,1-1,1,Dr. Anil Singh,dr..anil.singh73@gmail.com,,,,,,,,18,89,77,59,3.6
82,Deepak Bansal,23G31A5383,deepak.bansal439@gmail.com,MECH,1,1-1,1,Dr. Sanjay Joshi,dr..sanjay.joshi91@gmail.com,,,,,,,,14,115,66,94,2.6
83,Ravi Bajaj,23G31B6399,ravi.bajaj900@gmail.com,CIVIL,1,1-1,1,Prof. Priya Sharma,prof..priya.sharma14@gmail.com,,,,,,,,13,109,98,45,1.7
84,Shreya Dutta,23G31B4261,shreya.dutta594@gmail.com,CSE(AI),1,1-2,2,Prof. Divya Srivastava,prof..divya.srivastava88@gmail.com,98,,,,,,,25,115,93,84,2.5
85,Karthik Pillai,23G31A1321,karthik.pillai953@gmail.com,CSE,1,1-2,2,Dr. Rohan Kapoor,dr..rohan.kapoor73@gmail.com,92,,,,,,,27,100,96,62,4.9
86,Esha Kumar,23G31A8295,esha.kumar935@gmail.com,CDS,1,1-2,2,Dr. Rohan Kapoor,dr..rohan.kapoor15@gmail.com,76,,,,,,,18,97,95,86,4.3
87,Vishal Saxena,23G31A3984,vishal.saxena886@gmail.com,ECE,1,1-2,2,Prof. Anjali Menon,prof..anjali.menon46@gmail.com,67,,,,,,,30,90,89,64,6.3
88,Aryan Verma,23G31A5011,aryan.verma225@gmail.com,EEE,1,1-2,2,Prof. Shreya Nair,prof..shreya.nair77@gmail.com,56,,,,,,,16,85,85,93,4.0
89,Ria Iyer,23G31B3764,ria.iyer321@gmail.com,MECH,1,1-2,2,Dr. Vikram Reddy,dr..vikram.reddy73@gmail.com,68,,,,,,,27,118,97,45,6.8
90,Diya Saxena,23G31B9355,diya.saxena691@gmail.com,CIVIL,1,1-1,1,Prof. Isha Mishra,prof..isha.mishra20@gmail.com,,,,,,,,21,84,41,86,8.2
91,Diya Dutta,23G31B9713,diya.dutta391@gmail.com,CSE(AI),1,1-2,2,Prof. Meera Desai,prof..meera.desai58@gmail.com,81,,,,,,,23,82,43,76,5.9
92,Harish Srivastava,23G31A5898,harish.srivastava738@gmail.com,CSE,1,1-2,2,Dr. Rohan Kapoor,dr..rohan.kapoor97@gmail.com,99,,,,,,,11,93,69,42,8.7
93,Harsha Das,23G31A4114,harsha.das861@gmail.com,CDS,1,1-2,2,Prof. Meera Desai,prof..meera.desai74@gmail.com,58,,,,,,,14,83,70,66,5.0
94,Harish Iyer,23G31B1318,harish.iyer490@gmail.com,ECE,1,1-2,2,Prof. Anjali Menon,prof..anjali.menon85@gmail.com,76,,,,,,,14,114,46,79,9.4
95,Nisha Reddy,23G31A8436,nisha.reddy242@gmail.com,EEE,1,1-2,2,Prof. Kavya Pillai,prof..kavya.pillai53@gmail.com,85,,,,,,,30,114,100,47,2.0
96,Rohan Singh,23G31B3720,rohan.singh269@gmail.com,MECH,1,1-1,1,Prof. Anjali Menon,prof..anjali.menon92@gmail.com,,,,,,,,15,112,47,54,8.0
97,Ananya Sharma,23G31A8840,ananya.sharma853@gmail.com,CIVIL,1,1-2,2,Dr. Rohan Kapoor,dr..rohan.kapoor59@gmail.com,81,,,,,,,21,87,62,67,8.7
98,Kumar Kumar,23G31A8369,kumar.kumar649@gmail.com,CSE(AI),1,1-2,2,Prof. Anjali Menon,prof..anjali.menon91@gmail.com,73,,,,,,,22,101,73,61,5.0
99,Aarav Agarwal,23G31A3661,aarav.agarwal747@gmail.com,CSE,1,1-1,1,Prof. Kavya Pillai,prof..kavya.pillai96@gmail.com,,,,,,,,22,111,107,60,8.5
100,Sandeep Agarwal,23G31B6153,sandeep.agarwal169@gmail.com,CDS,1,1-1,1,Prof. Kavya Pillai,prof..kavya.pillai70@gmail.com,,,,,,,,19,117,117,75,9.5
101,Ramesh Iyer,23G31B8664,ramesh.iyer405@gmail.com,ECE,1,1-2,2,Prof. Meera Desai,prof..meera.desai42@gmail.com,85,,,,,,,29,92,61,78,8.6
102,Rahul Gupta,23G31A1479,rahul.gupta581@gmail.com,EEE,1,1-1,1,Prof. Shreya Nair,prof..shreya.nair59@gmail.com,,,,,,,,21,101,92,94,4.8
103,Sneha Bajaj,23G31A5741,sneha.bajaj134@gmail.com,MECH,1,1-2,2,Dr. Harish Rao,dr..harish.rao58@gmail.com,62,,,,,,,23,88,80,68,1.8
104,Priya Verma,23G31B8659,priya.verma914@gmail.com,CIVIL,1,1-1,1,Prof. Divya Srivastava,prof..divya.srivastava36@gmail.com,,,,,,,,27,98,68,49,5.3
105,Simran Sinha,23G31B6797,simran.sinha217@gmail.com,CSE(AI),1,1-2,2,Dr. Sanjay Joshi,dr..sanjay.joshi80@gmail.com,80,,,,,,,17,105,83,73,5.1
106,Pooja Chopra,23G31B9997,pooja.chopra545@gmail.com,CSE,1,1-2,2,Prof. Shreya Nair,prof..shreya.nair20@gmail.com,77,,,,,,,15,110,54,72,5.2
107,Simran Das,23G31B7208,simran.das815@gmail.com,CDS,1,1-2,2,Prof. Isha Mishra,prof..isha.mishra24@gmail.com,59,,,,,,,28,85,61,47,8.8
108,Sanjay Srivastava,23G31B4327,sanjay.srivastava930@gmail.com,ECE,1,1-1,1,Prof. Kavya Pillai,prof..kavya.pillai70@gmail.com,,,,,,,,25,82,47,71,5.2
109,Diya Patel,23G31A2470,diya.patel982@gmail.com,EEE,1,1-2,2,Dr. Sanjay Joshi,dr..sanjay.joshi34@gmail.com,57,,,,,,,15,85,73,61,4.9
110,Aisha Chatterjee,23G31B5135,aisha.chatterjee425@gmail.com,MECH,1,1-1,1,Dr. Rohan Kapoor,dr..rohan.kapoor84@gmail.com,,,,,,,,26,120,102,41,9.1
111,Divya Malhotra,23G31B1401,divya.malhotra906@gmail.com,CIVIL,1,1-2,2,Dr. Harish Rao,dr..harish.rao73@gmail.com,77,,,,,,,27,90,85,70,9.3
112,Neha Joshi,23G31B5911,neha.joshi939@gmail.com,CSE(AI),1,1-2,2,Dr. Rohan Kapoor,dr..rohan.kapoor10@gmail.com,94,,,,,,,22,82,48,43,5.8
113,Meera Verma,23G31A7755,meera.verma310@gmail.com,CSE,1,1-1,1,Prof. Divya Srivastava,prof..divya.srivastava45@gmail.com,,,,,,,,24,98,87,93,3.8
114,Nitin Dasgupta,23G31B8338,nitin.dasgupta544@gmail.com,CDS,1,1-1,1,Prof. Anjali Menon,prof..anjali.menon57@gmail.com,,,,,,,,10,84,73,90,6.5
115,Pari Bhat,23G31B6985,pari.bhat718@gmail.com,ECE,1,1-1,1,Prof. Priya Sharma,prof..priya.sharma82@gmail.com,,,,,,,,17,104,69,76,6.9
116,Ashok Kumar,23G31A3346,ashok.kumar843@gmail.com,EEE,1,1-2,2,Dr. Nitin Verma,dr..nitin.verma61@gmail.com,65,,,,,,,14,91,67,49,1.4
117,Siddharth Reddy,23G31B7398,siddharth.reddy747@gmail.com,MECH,1,1-1,1,Dr. Rajesh Kumar,dr..rajesh.kumar10@gmail.com,,,,,,,,17,81,38,88,3.2
118,Divya Rao,23G31A4897,divya.rao459@gmail.com,CIVIL,1,1-1,1,Dr. Rohan Kapoor,dr..rohan.kapoor29@gmail.com,,,,,,,,15,112,108,54,4.8
119,Arjun Dasgupta,23G31A3688,arjun.dasgupta447@gmail.com,CSE(AI),1,1-1,1,Prof. Ritika Malhotra,prof..ritika.malhotra68@gmail.com,,,,,,,,29,96,80,75,4.6
120,Siddharth Chatterjee,23G31B8579,siddharth.chatterjee950@gmail.com,CSE,1,1-2,2,Prof. Anjali Menon,prof..anjali.menon23@gmail.com,81,,,,,,,23,115,115,51,6.7
121,Ravi Malhotra,23G31B1459,ravi.malhotra844@gmail.com,CDS,1,1-2,2,Prof. Isha Mishra,prof..isha.mishra37@gmail.com,47,,,,,,,14,90,73,51,1.2
122,Siddharth Nair,23G31B9484,siddharth.nair946@gmail.com,ECE,1,1-2,2,Dr. Rohan Kapoor,dr..rohan.kapoor99@gmail.com,63,,,,,,,13,101,66,92,6.2
123,Arjun Bhat,23G31B9684,arjun.bhat267@gmail.com,EEE,1,1-2,2,Dr. Harish Rao,dr..harish.rao34@gmail.com,50,,,,,,,15,83,74,67,4.1
124,Ananya Reddy,23G31B4465,ananya.reddy791@gmail.com,MECH,1,1-1,1,Prof. Kavya Pillai,prof..kavya.pillai10@gmail.com,,,,,,,,24,84,76,40,7.5
125,Ria Nair,23G31A3925,ria.nair688@gmail.com,CIVIL,1,1-2,2,Prof. Kavya Pillai,prof..kavya.pillai19@gmail.com,62,,,,,,,29,90,70,63,2.5
126,Tanvi Dutta,23G31A6497,tanvi.dutta469@gmail.com,CSE(AI),1,1-1,1,Dr. Suresh Iyer,dr..suresh.iyer57@gmail.com,,,,,,,,27,110,98,45,4.5
127,Sanjay Bhat,23G31A5369,sanjay.bhat863@gmail.com,CSE,1,1-2,2,Dr. Vikram Reddy,dr..vikram.reddy83@gmail.com,75,,,,,,,29,84,76,80,1.3
128,Pooja Saxena,23G31B5449,pooja.saxena183@gmail.com,CDS,1,1-1,1,Prof. Priya Sharma,prof..priya.sharma87@gmail.com,,,,,,,,22,100,56,56,5.9
129,Vikram Pillai,23G31A2532,vikram.pillai374@gmail.com,ECE,1,1-2,2,Prof. Meera Desai,prof..meera.desai30@gmail.com,82,,,,,,,28,109,80,57,3.9
130,Celina Saxena,23G31A2286,celina.saxena713@gmail.com,EEE,1,1-1,1,Prof. Ritika Malhotra,prof..ritika.malhotra78@gmail.com,,,,,,,,12,106,97,71,2.5
131,Rahul Menon,23G31B7605,rahul.menon647@gmail.com,MECH,1,1-2,2,Dr. Sanjay Joshi,dr..sanjay.joshi84@gmail.com,48,,,,,,,26,120,116,42,7.4
132,Avni Bajaj,23G31B1064,avni.bajaj306@gmail.com,CIVIL,1,1-2,2,Prof. Shreya Nair,prof..shreya.nair66@gmail.com,54,,,,,,,17,91,79,59,9.9
133,Karthik Singh,23G31A5680,karthik.singh397@gmail.com,CSE(AI),1,1-1,1,Dr. Sanjay Joshi,dr..sanjay.joshi10@gmail.com,,,,,,,,24,81,62,50,5.5
134,Zara Mishra,23G31A3356,zara.mishra671@gmail.com,CSE,1,1-2,2,Prof. Ritika Malhotra,prof..ritika.malhotra98@gmail.com,61,,,,,,,16,85,39,70,8.9
135,Ravi Rao,23G31B5748,ravi.rao896@gmail.com,CDS,1,1-1,1,Dr. Anil Singh,dr..anil.singh84@gmail.com,,,,,,,,26,101,50,63,8.6
136,Swati Agarwal,23G31A5985,swati.agarwal178@gmail.com,ECE,1,1-2,2,Prof. Divya Srivastava,prof..divya.srivastava96@gmail.com,72,,,,,,,10,83,81,94,2.0
137,Meera Bhat,23G31A1973,meera.bhat724@gmail.com,EEE,1,1-2,2,Dr. Anil Singh,dr..anil.singh29@gmail.com,80,,,,,,,20,82,72,70,8.7
138,Ananya Malhotra,23G31A6931,ananya.malhotra925@gmail.com,MECH,1,1-2,2,Dr. Harish Rao,dr..harish.rao98@gmail.com,54,,,,,,,29,102,76,85,2.3
139,Ananya Gupta,23G31B9488,ananya.gupta155@gmail.com,CIVIL,1,1-1,1,Dr. Harish Rao,dr..harish.rao71@gmail.com,,,,,,,,25,114,113,94,7.3
140,Divya Sharma,23G31A5388,divya.sharma614@gmail.com,CSE(AI),1,1-2,2,Dr. Suresh Iyer,dr..suresh.iyer86@gmail.com,70,,,,,,,23,87,46,67,7.9
141,Divya Agarwal,23G31B6997,divya.agarwal653@gmail.com,CSE,1,1-2,2,Prof. Ritika Malhotra,prof..ritika.malhotra83@gmail.com,65,,,,,,,22,97,53,80,1.2
142,Meera Bansal,23G31B9768,meera.bansal644@gmail.com,CDS,1,1-2,2,Prof. Meera Desai,prof..meera.desai91@gmail.com,77,,,,,,,20,96,75,82,10.0
