S.NO,NAME,RNO,EMAIL,DEPT,YEAR,CURR_SEM,MENTOR,MENTOR_EMAIL,SEM1,SEM2,SEM3,SEM4,SEM5,SEM6,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10
391,Mahesh Kapoor,25G31A3078,mahesh.kapoor823@gmail.com,CIVIL,3,5,Dr. Nitin Verma,dr..nitin.verma25@gmail.com,66.0,58.0,84.0,63.0,,0.0,0.0,0.0,16,117,112.0,83,2.3
392,Celina Desai,25G31A8746,celina.desai167@gmail.com,CSE(AI),3,6,Dr. Vikram Reddy,dr..vikram.reddy12@gmail.com,60.0,73.0,51.0,56.0,52.0,0.0,0.0,0.0,29,108,53.0,95,6.4
393,Ananya Mishra,25G31B5719,ananya.mishra807@gmail.com,CSE,3,6,Prof. Isha Mishra,prof..isha.mishra75@gmail.com,73.0,77.0,82.0,65.0,48.0,0.0,0.0,0.0,15,108,62.0,94,6.3
394,Harsha Dutta,25G31B2964,harsha.dutta692@gmail.com,CDS,3,5,Prof. Priya Sharma,prof..priya.sharma34@gmail.com,72.0,42.0,52.0,83.0,,0.0,0.0,0.0,11,81,79.0,80,7.7
395,Sneha Bajaj,25G31A8405,sneha.bajaj920@gmail.com,ECE,3,6,Dr. Nitin Verma,dr..nitin.verma62@gmail.com,75.0,64.0,53.0,68.0,91.0,0.0,0.0,0.0,24,85,36.0,53,5.4
396,Ashok Dutta,25G31B4131,ashok.dutta900@gmail.com,EEE,3,6,Dr. Suresh Iyer,dr..suresh.iyer90@gmail.com,76.0,84.0,56.0,74.0,66.0,0.0,0.0,0.0,14,113,91.0,61,2.6
397,Mahesh Chopra,25G31A4904,mahesh.chopra338@gmail.com,MECH,3,6,Dr. Vikram Reddy,dr..vikram.reddy43@gmail.com,63.0,99.0,91.0,75.0,72.0,0.0,0.0,0.0,17,110,85.0,93,8.8
398,Kumar Kumar,25G31B7785,kumar.kumar222@gmail.com,CIVIL,3,6,Prof. Ritika Malhotra,prof..ritika.malhotra31@gmail.com,86.0,73.0,98.0,83.0,73.0,0.0,0.0,0.0,20,94,80.0,64,2.5
399,Pari Chatterjee,25G31B5767,pari.chatterjee972@gmail.com,CSE(AI),3,5,Prof. Kavya Pillai,prof..kavya.pillai95@gmail.com,79.0,41.0,47.0,66.0,,0.0,0.0,0.0,26,92,52.0,90,3.7
400,Swati Chatterjee,25G31A1519,swati.chatterjee555@gmail.com,CSE,3,5,Prof. Anjali Menon,prof..anjali.menon44@gmail.com,44.0,41.0,57.0,59.0,,0.0,0.0,0.0,24,95,91.0,86,6.0
401,Arjun Iyer,25G31A3465,arjun.iyer757@gmail.com,CDS,3,5,Dr. Harish Rao,dr..harish.rao55@gmail.com,71.0,56.0,81.0,58.0,,0.0,0.0,0.0,26,107,98.0,43,3.8
402,Mohan Sinha,25G31A4680,mohan.sinha657@gmail.com,ECE,3,5,Prof. Meera Desai,prof..meera.desai90@gmail.com,77.0,99.0,79.0,59.0,,0.0,0.0,0.0,23,116,96.0,94,3.9
403,Aarav Verma,25G31A4328,aarav.verma388@gmail.com,EEE,3,5,Dr. Rohan Kapoor,dr..rohan.kapoor36@gmail.com,66.0,93.0,63.0,56.0,,0.0,0.0,0.0,10,85,57.0,83,5.7
404,Avni Bajaj,25G31B8975,avni.bajaj712@gmail.com,MECH,3,5,Prof. Ritika Malhotra,prof..ritika.malhotra57@gmail.com,88.0,81.0,42.0,58.0,,0.0,0.0,0.0,26,89,53.0,65,3.5
405,Aditya Dutta,25G31B5652,aditya.dutta785@gmail.com,CIVIL,3,5,Prof. Divya Srivastava,prof..divya.srivastava61@gmail.com,63.0,59.0,47.0,99.0,,0.0,0.0,0.0,12,102,93.0,87,7.9
406,Pooja Chopra,25G31A2353,pooja.chopra720@gmail.com,CSE(AI),3,6,Dr. Suresh Iyer,dr..suresh.iyer43@gmail.com,92.0,74.0,65.0,82.0,62.0,0.0,0.0,0.0,14,93,62.0,52,8.7
407,Ananya Mishra,25G31B4445,ananya.mishra845@gmail.com,CSE,3,6,Dr. Sanjay Joshi,dr..sanjay.joshi40@gmail.com,73.0,55.0,47.0,83.0,47.0,0.0,0.0,0.0,15,102,100.0,63,2.9
408,Deepak Rao,25G31B2475,deepak.rao839@gmail.com,CDS,3,5,Prof. Isha Mishra,prof..isha.mishra80@gmail.com,96.0,71.0,84.0,82.0,,0.0,0.0,0.0,25,112,77.0,56,4.2
409,Ramesh Patel,25G31A7526,ramesh.patel932@gmail.com,ECE,3,5,Dr. Sanjay Joshi,dr..sanjay.joshi39@gmail.com,64.0,61.0,61.0,53.0,,0.0,0.0,0.0,16,89,51.0,77,9.5
410,Vivek Kapoor,25G31B8408,vivek.kapoor976@gmail.com,EEE,3,6,Dr. Suresh Iyer,dr..suresh.iyer30@gmail.com,60.0,69.0,67.0,45.0,60.0,0.0,0.0,0.0,17,97,55.0,85,7.4
411,Esha Desai,25G31B8654,esha.desai665@gmail.com,MECH,3,5,Prof. Shreya Nair,prof..shreya.nair86@gmail.com,69.0,65.0,77.0,57.0,,0.0,0.0,0.0,16,99,55.0,92,1.1
412,Sakshi Nair,25G31A2317,sakshi.nair477@gmail.com,CIVIL,3,5,Dr. Rajesh Kumar,dr..rajesh.kumar61@gmail.com,42.0,84.0,74.0,93.0,,0.0,0.0,0.0,11,100,85.0,51,1.1
413,Ajay Patel,25G31A3279,ajay.patel865@gmail.com,CSE(AI),3,6,Dr. Suresh Iyer,dr..suresh.iyer78@gmail.com,81.0,87.0,43.0,87.0,79.0,0.0,0.0,0.0,13,80,40.0,88,6.5
414,Zara Dasgupta,25G31A3053,zara.dasgupta921@gmail.com,CSE,3,5,Prof. Ritika Malhotra,prof..ritika.malhotra83@gmail.com,57.0,50.0,60.0,46.0,,0.0,0.0,0.0,12,95,85.0,78,3.8
415,Harish Chopra,25G31A4672,harish.chopra397@gmail.com,CDS,3,5,Dr. Rajesh Kumar,dr..rajesh.kumar74@gmail.com,89.0,52.0,65.0,77.0,,0.0,0.0,0.0,14,81,62.0,82,4.4
416,Swati Kapoor,25G31B7730,swati.kapoor915@gmail.com,ECE,3,6,Prof. Priya Sharma,prof..priya.sharma74@gmail.com,63.0,84.0,75.0,84.0,82.0,0.0,0.0,0.0,25,108,100.0,71,2.4
417,Pooja Rao,25G31A7024,pooja.rao955@gmail.com,EEE,3,6,Prof. Ritika Malhotra,prof..ritika.malhotra90@gmail.com,46.0,73.0,82.0,55.0,68.0,0.0,0.0,0.0,17,102,51.0,90,6.5
418,Maya Menon,25G31B7942,maya.menon636@gmail.com,MECH,3,6,Dr. Harish Rao,dr..harish.rao61@gmail.com,88.0,90.0,64.0,68.0,92.0,0.0,0.0,0.0,10,86,77.0,68,6.7
419,Zara Dutta,25G31B2844,zara.dutta372@gmail.com,CIVIL,3,6,Dr. Vikram Reddy,dr..vikram.reddy78@gmail.com,52.0,60.0,47.0,72.0,52.0,0.0,0.0,0.0,10,95,94.0,80,5.0
420,Kriti Dasgupta,25G31A8797,kriti.dasgupta792@gmail.com,CSE(AI),3,6,Prof. Isha Mishra,prof..isha.mishra16@gmail.com,63.0,88.0,87.0,42.0,69.0,0.0,0.0,0.0,19,85,73.0,79,7.8
421,Kriti Sharma,26G31A5452,kriti.sharma173@gmail.com,CSE,4,8,Dr. Nitin Verma,dr..nitin.verma23@gmail.com,68.0,77.0,85.0,81.0,74.0,77.0,92.0,,16,118,106.0,64,5.4
422,Tanvi Sharma,26G31B7719,tanvi.sharma343@gmail.com,CDS,4,8,Prof. Anjali Menon,prof..anjali.menon10@gmail.com,77.0,84.0,82.0,82.0,94.0,81.8,85.0,,19,113,100.0,66,5.1
423,Vinod Joshi,26G31B6295,vinod.joshi597@gmail.com,ECE,4,7,Dr. Rajesh Kumar,dr..rajesh.kumar40@gmail.com,75.0,53.0,57.0,60.0,86.0,66.2,,0.0,28,114,83.0,75,1.7
424,Rahul Sinha,26G31A4927,rahul.sinha462@gmail.com,EEE,4,8,Prof. Kavya Pillai,prof..kavya.pillai13@gmail.com,76.0,66.0,88.0,61.0,63.0,70.8,64.0,,24,106,95.0,57,3.3
425,Ashok Bhatnagar,26G31B3940,ashok.bhatnagar918@gmail.com,MECH,4,7,Prof. Priya Sharma,prof..priya.sharma89@gmail.com,53.0,58.0,76.0,74.0,59.0,64.0,,0.0,28,103,89.0,53,3.8
426,Ananya Srivastava,26G31A5153,ananya.srivastava341@gmail.com,CIVIL,4,8,Dr. Rajesh Kumar,dr..rajesh.kumar21@gmail.com,75.0,72.0,41.0,48.0,87.0,64.6,40.0,,18,88,75.0,73,8.2
427,Sandeep Bansal,26G31B2163,sandeep.bansal786@gmail.com,CSE(AI),4,7,Prof. Isha Mishra,prof..isha.mishra75@gmail.com,70.0,81.0,56.0,85.0,98.0,78.2,,0.0,29,101,92.0,76,3.6
428,Isha Nair,26G31B9972,isha.nair549@gmail.com,CSE,4,7,Dr. Sanjay Joshi,dr..sanjay.joshi13@gmail.com,41.0,68.0,69.0,77.0,61.0,63.2,,0.0,21,103,82.0,71,5.1
429,Divya Iyer,26G31B8341,divya.iyer215@gmail.com,CDS,4,7,Dr. Vikram Reddy,dr..vikram.reddy40@gmail.com,60.0,91.0,50.0,76.0,45.0,64.4,,0.0,25,116,106.0,82,8.8
430,Pooja Chatterjee,26G31A7355,pooja.chatterjee573@gmail.com,ECE,4,7,Dr. Anil Singh,dr..anil.singh94@gmail.com,51.0,72.0,96.0,79.0,57.0,71.0,,0.0,20,80,72.0,58,3.6
431,Pooja Verma,26G31B4553,pooja.verma677@gmail.com,EEE,4,7,Dr. Anil Singh,dr..anil.singh57@gmail.com,94.0,78.0,80.0,97.0,49.0,79.6,,0.0,18,106,92.0,78,1.5
432,Anjali Gupta,26G31B1585,anjali.gupta892@gmail.com,MECH,4,7,Dr. Suresh Iyer,dr..suresh.iyer76@gmail.com,64.0,71.0,82.0,71.0,78.0,73.2,,0.0,30,95,67.0,94,3.1
433,Mohan Singh,26G31A3398,mohan.singh897@gmail.com,CIVIL,4,7,Dr. Rajesh Kumar,dr..rajesh.kumar66@gmail.com,48.0,66.0,79.0,82.0,82.0,71.4,,0.0,12,119,116.0001,75,5.1
434,Zara Patel,26G31A7439,zara.patel378@gmail.com,CSE(AI),4,7,Dr. Harish Rao,dr..harish.rao87@gmail.com,92.0,87.0,76.0,47.0,73.0,75.0,,0.0,25,106,95.0,75,4.1
435,Rohan Sharma,26G31A4281,rohan.sharma494@gmail.com,CSE,4,7,Dr. Harish Rao,dr..harish.rao46@gmail.com,79.0,49.0,97.0,65.0,56.0,69.2,,0.0,12,89,87.0,62,4.9
436,Vivek Rao,26G31B2850,vivek.rao752@gmail.com,CDS,4,8,Dr. Sanjay Joshi,dr..sanjay.joshi40@gmail.com,79.0,66.0,57.0,66.0,84.0,70.4,76.0,,19,107,70.0,62,1.5
437,Shreya Gupta,26G31A8770,shreya.gupta815@gmail.com,ECE,4,8,Prof. Shreya Nair,prof..shreya.nair88@gmail.com,60.0,74.0,40.0,74.0,54.0,60.4,73.0,,26,105,49.0,75,2.4
438,Aryan Kapoor,26G31A9180,aryan.kapoor997@gmail.com,EEE,4,7,Prof. Kavya Pillai,prof..kavya.pillai87@gmail.com,78.0,56.0,90.0,59.0,63.0,69.2,,0.0,13,109,71.0,43,7.0
439,Sakshi Menon,26G31A4062,sakshi.menon265@gmail.com,MECH,4,7,Dr. Vikram Reddy,dr..vikram.reddy14@gmail.com,60.0,73.0,78.0,72.0,81.0,72.8,,0.0,25,84,70.0,90,6.3
440,Deepak Reddy,26G31A2916,deepak.reddy323@gmail.com,CIVIL,4,8,Dr. Rajesh Kumar,dr..rajesh.kumar30@gmail.com,78.0,78.0,40.0,75.0,50.0,64.2,60.0,,22,87,36.0,44,7.6
441,Aditya Mishra,26G31A3460,aditya.mishra751@gmail.com,CSE(AI),4,7,Prof. Shreya Nair,prof..shreya.nair97@gmail.com,56.0,97.0,59.0,82.0,60.0,70.8,,0.0,11,110,102.0,45,2.1
442,Vinod Kumar,26G31B3395,vinod.kumar652@gmail.com,CSE,4,8,Dr. Suresh Iyer,dr..suresh.iyer25@gmail.com,71.0,73.0,72.0,82.0,78.0,75.2,62.0,,10,104,75.0,81,9.8
443,Bhavna Nair,26G31A7704,bhavna.nair697@gmail.com,CDS,4,7,Prof. Meera Desai,prof..meera.desai49@gmail.com,82.0,75.0,83.0,73.0,73.0,77.2,,0.0,21,112,101.0,93,3.0
444,Varun Bhatnagar,26G31B9220,varun.bhatnagar953@gmail.com,ECE,4,7,Dr. Anil Singh,dr..anil.singh15@gmail.com,69.0,68.0,60.0,57.0,80.0,66.8,,0.0,18,98,58.0,95,4.9
445,Ravi Malhotra,26G31A3924,ravi.malhotra773@gmail.com,EEE,4,7,Prof. Ritika Malhotra,prof..ritika.malhotra48@gmail.com,67.0,83.0,75.0,70.0,58.0,70.6,,0.0,28,98,92.0,57,4.3
446,Nikhil Mishra,26G31B8266,nikhil.mishra216@gmail.com,MECH,4,7,Dr. Harish Rao,dr..harish.rao74@gmail.com,70.0,61.0,64.0,82.0,77.0,70.8,,0.0,19,103,103.0,73,7.4
447,Avni Rao,26G31A7284,avni.rao584@gmail.com,CIVIL,4,7,Dr. Rajesh Kumar,dr..rajesh.kumar32@gmail.com,67.0,95.0,70.0,77.0,76.0,77.0,,0.0,11,108,49.0,81,6.6
448,Nitin Das,26G31B7831,nitin.das919@gmail.com,CSE(AI),4,8,Dr. Rajesh Kumar,dr..rajesh.kumar65@gmail.com,59.0,78.0,99.0,78.0,79.0,78.6,92.0,,26,115,110.0,85,2.0
449,Nikhil Patel,26G31A2601,nikhil.patel407@gmail.com,CSE,4,7,Prof. Ritika Malhotra,prof..ritika.malhotra41@gmail.com,77.0,75.0,48.0,85.0,85.0,74.0,,0.0,18,102,77.0,81,8.7
450,Kavya Agarwal,26G31B2792,kavya.agarwal837@gmail.com,CDS,4,7,Prof. Kavya Pillai,prof..kavya.pillai83@gmail.com,81.0,75.0,41.0,82.0,60.0,67.8,,0.0,30,95,56.0,92,1.1
451,Ria Nair,26G31A9041,ria.nair248@gmail.com,ECE,4,8,Prof. Anjali Menon,prof..anjali.menon62@gmail.com,88.0,63.0,78.0,62.0,94.0,77.0,74.0,,14,100,91.0,62,9.7
452,Nikhil Malhotra,26G31B9127,nikhil.malhotra439@gmail.com,EEE,4,7,Prof. Divya Srivastava,prof..divya.srivastava74@gmail.com,67.0,71.0,58.0,74.0,50.0,64.0,,0.0,23,120,85.0,53,9.1
453,Aryan Iyer,26G31B2513,aryan.iyer339@gmail.com,MECH,4,7,Dr. Sanjay Joshi,dr..sanjay.joshi33@gmail.com,77.0,52.0,60.0,79.0,44.0,62.4,,0.0,28,98,84.0,75,1.8
454,Divya Bansal,26G31B3338,divya.bansal724@gmail.com,CIVIL,4,8,Dr. Harish Rao,dr..harish.rao50@gmail.com,86.0,64.0,69.0,84.0,84.0,77.4,92.0,,28,102,92.0,78,5.0
455,Bhavna Agarwal,26G31A7749,bhavna.agarwal228@gmail.com,CSE(AI),4,8,Dr. Rajesh Kumar,dr..rajesh.kumar10@gmail.com,98.0,81.0,67.0,41.0,65.0,70.4,92.0,,27,80,75.0,91,4.7
456,Ria Menon,26G31B3883,ria.menon824@gmail.com,CSE,4,8,Dr. Suresh Iyer,dr..suresh.iyer46@gmail.com,83.0,87.0,54.0,67.0,59.0,70.0,56.0,,29,94,91.0,48,1.8
457,Priya Bhat,26G31B2892,priya.bhat937@gmail.com,CDS,4,7,Dr. Rajesh Kumar,dr..rajesh.kumar75@gmail.com,89.0,60.0,61.0,50.0,58.0,63.6,,0.0,19,86,58.0,86,2.4
458,Sneha Patel,26G31B6683,sneha.patel404@gmail.com,ECE,4,7,Dr. Nitin Verma,dr..nitin.verma67@gmail.com,82.0,90.0,84.0,81.0,47.0,76.8,,0.0,23,90,89.0,43,1.1
459,Ramesh Srivastava,26G31B9724,ramesh.srivastava518@gmail.com,EEE,4,8,Prof. Isha Mishra,prof..isha.mishra37@gmail.com,72.0,88.0,57.0,82.0,44.0,68.6,66.0,,17,91,85.0,92,2.3
460,Anjali Desai,26G31A4125,anjali.desai259@gmail.com,MECH,4,7,Prof. Kavya Pillai,prof..kavya.pillai66@gmail.com,54.0,71.0,55.0,60.0,78.0,63.6,,0.0,13,81,59.0,95,8.1
461,Ajay Chatterjee,26G31A3588,ajay.chatterjee357@gmail.com,CIVIL,4,7,Prof. Isha Mishra,prof..isha.mishra31@gmail.com,99.0,88.0,60.0,72.0,82.0,80.4,,0.0,30,98,81.0,89,5.2
462,Mahesh Reddy,26G31A5258,mahesh.reddy974@gmail.com,CSE(AI),4,8,Dr. Vikram Reddy,dr..vikram.reddy60@gmail.com,56.0,59.0,56.0,81.0,52.0,60.8,69.0,,11,119,101.0,83,7.3
463,Bhavna Malhotra,26G31A9091,bhavna.malhotra363@gmail.com,CSE,4,8,Prof. Meera Desai,prof..meera.desai63@gmail.com,71.0,46.0,68.0,67.0,72.0,64.8,64.0,,17,87,82.0,83,8.8
464,Nikhil Dasgupta,26G31B2641,nikhil.dasgupta862@gmail.com,CDS,4,7,Dr. Rohan Kapoor,dr..rohan.kapoor60@gmail.com,78.0,82.0,76.0,64.0,98.0,79.6,,0.0,21,81,77.0,73,4.5
465,Celina Reddy,26G31A1181,celina.reddy754@gmail.com,ECE,4,8,Dr. Anil Singh,dr..anil.singh63@gmail.com,54.0,78.0,56.0,96.0,63.0,69.4,76.0,,18,98,64.0,59,7.6
466,Rohan Bajaj,26G31A1111,rohan.bajaj670@gmail.com,EEE,4,7,Dr. Vikram Reddy,dr..vikram.reddy56@gmail.com,57.0,56.0,42.0,78.0,77.0,62.0,,0.0,24,80,71.0,42,4.4
467,Ananya Malhotra,26G31B7707,ananya.malhotra442@gmail.com,MECH,4,7,Prof. Ritika Malhotra,prof..ritika.malhotra61@gmail.com,41.0,99.0,73.0,80.0,76.0,73.8,,0.0,13,80,36.0,81,4.0
468,Sneha Bajaj,26G31B1895,sneha.bajaj818@gmail.com,CIVIL,4,8,Dr. Vikram Reddy,dr..vikram.reddy66@gmail.com,85.0,47.0,96.0,48.0,83.0,71.8,84.0,,12,110,98.0,62,3.0
469,Vikram Gupta,26G31B8482,vikram.gupta503@gmail.com,CSE(AI),4,7,Dr. Harish Rao,dr..harish.rao76@gmail.com,85.0,59.0,71.0,88.0,82.0,77.0,,0.0,24,90,48.0,63,5.7
470,Sandeep Menon,26G31A7198,sandeep.menon778@gmail.com,CSE,4,8,Dr. Sanjay Joshi,dr..sanjay.joshi91@gmail.com,85.0,46.0,99.0,52.0,80.0,72.6,57.0,,12,100,87.0,91,6.5
471,Anjali Sinha,26G31A8090,anjali.sinha700@gmail.com,CDS,4,8,Dr. Nitin Verma,dr..nitin.verma69@gmail.com,57.0,66.0,66.0,63.0,74.0,65.2,45.0,,14,92,87.0,79,1.6
472,Isha Srivastava,26G31A2909,isha.srivastava501@gmail.com,ECE,4,8,Dr. Harish Rao,dr..harish.rao41@gmail.com,78.0,82.0,75.0,64.0,52.0,70.2,56.0,,11,85,65.0,71,8.8
473,Deepak Srivastava,26G31A6743,deepak.srivastava262@gmail.com,EEE,4,7,Prof. Shreya Nair,prof..shreya.nair29@gmail.com,43.0,58.0,82.0,74.0,45.0,60.4,,0.0,19,98,96.0,87,8.5
474,Amit Chatterjee,26G31B5807,amit.chatterjee987@gmail.com,MECH,4,8,Dr. Anil Singh,dr..anil.singh28@gmail.com,65.0,72.0,61.0,90.0,67.0,71.0,90.0,,17,80,62.0,94,9.8
475,Aarav Gupta,26G31A4046,aarav.gupta557@gmail.com,CIVIL,4,7,Prof. Priya Sharma,prof..priya.sharma59@gmail.com,82.0,66.0,51.0,91.0,90.0,76.0,,0.0,11,107,82.0,86,1.7
476,Sakshi Saxena,26G31B3433,sakshi.saxena162@gmail.com,CSE(AI),4,8,Dr. Rajesh Kumar,dr..rajesh.kumar69@gmail.com,55.0,98.0,64.0,92.0,64.0,74.6,84.0,,22,116,110.0,61,5.8
477,Ananya Chatterjee,26G31A6473,ananya.chatterjee660@gmail.com,CSE,4,7,Dr. Rajesh Kumar,dr..rajesh.kumar89@gmail.com,91.0,61.0,76.0,88.0,94.0,81.8,,0.0,30,95,72.0,40,7.5
478,Rajesh Saxena,26G31B6161,rajesh.saxena654@gmail.com,CDS,4,7,Prof. Meera Desai,prof..meera.desai53@gmail.com,47.0,45.0,77.0,72.0,56.0,59.4,,0.0,30,119,59.0,80,3.1
479,Kavya Desai,26G31A6424,kavya.desai261@gmail.com,ECE,4,7,Dr. Rohan Kapoor,dr..rohan.kapoor69@gmail.com,80.0,61.0,84.0,88.0,98.0,81.8,,0.0,24,105,72.0,57,6.4
480,Priya Dutta,26G31B5859,priya.dutta677@gmail.com,EEE,4,7,Prof. Divya Srivastava,prof..divya.srivastava52@gmail.com,78.0,89.0,72.0,63.0,57.0,71.8,,0.0,25,108,59.0,40,6.4
481,Isha Rao,26G31B4658,isha.rao917@gmail.com,MECH,4,8,Dr. Sanjay Joshi,dr..sanjay.joshi57@gmail.com,81.0,82.0,58.0,63.0,79.0,72.6,62.0,,20,81,45.0,61,8.8
482,Karthik Agarwal,26G31A1255,karthik.agarwal563@gmail.com,CIVIL,4,8,Dr. Rajesh Kumar,dr..rajesh.kumar58@gmail.com,97.0,92.0,87.0,52.0,68.0,79.2,83.0,,20,113,100.0,55,5.4
483,Tanvi Kumar,26G31B6671,tanvi.kumar894@gmail.com,CSE(AI),4,7,Dr. Suresh Iyer,dr..suresh.iyer13@gmail.com,94.0,84.0,78.0,62.0,60.0,75.6,,0.0,28,117,62.0,71,4.7
484,Pooja Dasgupta,26G31A3432,pooja.dasgupta351@gmail.com,CSE,4,7,Dr. Nitin Verma,dr..nitin.verma81@gmail.com,79.0,79.0,76.0,85.0,74.0,78.6,,0.0,13,100,79.0,59,9.7
485,Ria Agarwal,26G31B3442,ria.agarwal542@gmail.com,CDS,4,7,Prof. Ritika Malhotra,prof..ritika.malhotra13@gmail.com,78.0,73.0,72.0,90.0,77.0,78.0,,0.0,15,112,83.0,66,9.6
486,Aisha Menon,26G31A3138,aisha.menon130@gmail.com,ECE,4,7,Dr. Nitin Verma,dr..nitin.verma13@gmail.com,73.0,49.0,75.0,67.0,85.0,69.8,,0.0,29,104,89.0,45,5.1
487,Kavya Bhatnagar,26G31B6213,kavya.bhatnagar491@gmail.com,EEE,4,7,Dr. Rohan Kapoor,dr..rohan.kapoor66@gmail.com,67.0,69.0,76.0,57.0,47.0,63.2,,0.0,11,117,94.0,78,2.5
488,Deepak Chatterjee,26G31B9402,deepak.chatterjee447@gmail.com,MECH,4,7,Dr. Rohan Kapoor,dr..rohan.kapoor12@gmail.com,77.0,57.0,91.0,85.0,74.0,76.8,,0.0,30,101,84.0,46,7.1
489,Harsha Sharma,26G31A8116,harsha.sharma338@gmail.com,CIVIL,4,7,Dr. Rajesh Kumar,dr..rajesh.kumar27@gmail.com,86.0,85.0,49.0,63.0,74.0,71.4,,0.0,20,87,80.0,66,7.1
490,Kriti Singh,26G31B5963,kriti.singh968@gmail.com,CSE(AI),4,7,Dr. Suresh Iyer,dr..suresh.iyer58@gmail.com,88.0,78.0,73.0,85.0,70.0,78.8,,0.0,29,101,70.0,52,7.0
491,Celina Joshi,26G31A1809,celina.joshi660@gmail.com,CSE,4,8,Prof. Divya Srivastava,prof..divya.srivastava81@gmail.com,56.0,70.0,57.0,55.0,85.0,64.6,80.0,,23,82,67.0,94,4.1
492,Anjali Reddy,26G31A7923,anjali.reddy429@gmail.com,CDS,4,8,Prof. Priya Sharma,prof..priya.sharma30@gmail.com,74.0,66.0,63.0,91.0,62.0,71.2,61.0,,28,92,86.0,74,4.1
493,Divya Mishra,26G31B2431,divya.mishra181@gmail.com,ECE,4,8,Dr. Sanjay Joshi,dr..sanjay.joshi64@gmail.com,45.0,58.0,74.0,82.0,85.0,68.8,74.0,,10,106,44.0,52,3.2
494,Mahesh Bajaj,26G31B3301,mahesh.bajaj502@gmail.com,EEE,4,8,Dr. Anil Singh,dr..anil.singh90@gmail.com,61.0,77.0,74.0,58.0,44.0,62.8,79.0,,18,100,77.0,55,5.3
495,Rahul Joshi,26G31B9725,rahul.joshi318@gmail.com,MECH,4,8,Prof. Anjali Menon,prof..anjali.menon40@gmail.com,69.0,75.0,65.0,69.0,85.0,72.6,46.0,,12,102,99.0,73,3.4
496,Mohan Srivastava,26G31B5514,mohan.srivastava379@gmail.com,CIVIL,4,7,Prof. Priya Sharma,prof..priya.sharma77@gmail.com,98.0,81.0,86.0,75.0,79.0,81.8,,0.0,24,95,54.0,52,5.9
497,Bhavna Singh,26G31B7828,bhavna.singh323@gmail.com,CSE(AI),4,7,Prof. Isha Mishra,prof..isha.mishra41@gmail.com,72.0,75.0,54.0,77.0,72.0,70.0,,0.0,27,112,95.0,90,5.1
498,Sandeep Sharma,26G31B5846,sandeep.sharma444@gmail.com,CSE,4,7,Dr. Anil Singh,dr..anil.singh48@gmail.com,78.0,79.0,45.0,92.0,59.0,70.6,,0.0,24,104,84.0,78,6.7
499,Vikram Saxena,26G31B6450,vikram.saxena336@gmail.com,CDS,4,8,Dr. Sanjay Joshi,dr..sanjay.joshi70@gmail.com,57.0,59.0,62.0,43.0,78.0,59.8,67.0,,22,80,42.0,74,5.7
500,Ravi Rao,26G31B6305,ravi.rao512@gmail.com,ECE,4,7,Prof. Priya Sharma,prof..priya.sharma32@gmail.com,79.0,65.0,84.0,73.0,63.0,72.8,,0.0,24,82,42.0,68,7.1
501,Siddharth Kapoor,23G31A3894,siddharth.kapoor488@gmail.com,EEE,1,1,Prof. Anjali Menon,prof..anjali.menon47@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,87,59.0,50,8.0
502,Ajay Menon,23G31B7636,ajay.menon884@gmail.com,MECH,1,1,Dr. Nitin Verma,dr..nitin.verma55@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,98,86.0,72,1.6
503,Rahul Iyer,23G31B2764,rahul.iyer740@gmail.com,CIVIL,1,2,Prof. Divya Srivastava,prof..divya.srivastava14@gmail.com,63.0,,0.0,0.0,0.0,0.0,0.0,0.0,25,92,44.0,87,3.2
504,Rohan Singh,23G31B1619,rohan.singh856@gmail.com,CSE(AI),1,2,Dr. Nitin Verma,dr..nitin.verma57@gmail.com,80.0,,0.0,0.0,0.0,0.0,0.0,0.0,27,89,71.0,90,7.6
505,Suresh Sinha,23G31A5554,suresh.sinha261@gmail.com,CSE,1,1,Dr. Rajesh Kumar,dr..rajesh.kumar38@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,118,116.0001,58,9.9
506,Suresh Bhat,23G31A7627,suresh.bhat214@gmail.com,CDS,1,1,Prof. Isha Mishra,prof..isha.mishra53@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,118,113.0,88,1.4
507,Kriti Pillai,23G31A3337,kriti.pillai283@gmail.com,ECE,1,2,Dr. Rajesh Kumar,dr..rajesh.kumar89@gmail.com,87.0,,0.0,0.0,0.0,0.0,0.0,0.0,18,84,41.0,51,7.2
508,Rajesh Saxena,23G31A1995,rajesh.saxena386@gmail.com,EEE,1,1,Prof. Ritika Malhotra,prof..ritika.malhotra43@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,118,91.0,44,3.6
509,Swati Verma,23G31B5950,swati.verma660@gmail.com,MECH,1,2,Dr. Rohan Kapoor,dr..rohan.kapoor19@gmail.com,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,14,84,77.0,81,4.1
